chembl_id	chembl_id	MIN(pp.accession)	MIN(pp.description)	MIN(do.source_domain_id)	MIN(act.standard_value)	AVG(act.standard_value)	MAX(act.standard_value)	MIN(ms.synonyms)	MIN(canonical_smiles)	MIN(pp.organism)	MIN(td.target_type)
CHEMBL1275214	CHEMBL2024335	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	350.000000000000000000000000000000	816.000000000000000000000000000000	1630.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccc(Cl)cc4)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024337	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	204.000000000000000000000000000000	204.000000000000000000000000000000	204.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccccc4F)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024338	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	97.000000000000000000000000000000	330.666666666666666666666666666667	792.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccccc4Cl)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024339	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	135.000000000000000000000000000000	135.000000000000000000000000000000	135.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccccc4Br)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024340	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	421.000000000000000000000000000000	421.000000000000000000000000000000	421.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccccc4I)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024341	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	154.000000000000000000000000000000	154.000000000000000000000000000000	154.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccccc4[N+](=O)[O-])C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024344	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	49.000000000000000000000000000000	147.000000000000000000000000000000	286.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(CC(=O)c4ccc(Cl)cc4Cl)C(=O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1275214	CHEMBL2024345	P9WNP5	1,4-dihydroxy-2-naphthoyl-CoA synthase	PF00378	2200.000000000000000000000000000000	2200.000000000000000000000000000000	2200.000000000000000000000000000000	NULL	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c4ccc(Cl)cc4Cl	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1287620	CHEMBL1235276	P9WQA3	Fructose-bisphosphate aldolase	PF01116	13.000000000000000000000000000000	13.000000000000000000000000000000	13.000000000000000000000000000000	NULL	ON(CCCOP(=O)(O)O)C(=O)COP(=O)(O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
CHEMBL1287620	CHEMBL1236228	P9WQA3	Fructose-bisphosphate aldolase	PF01116	3.200000000000000000000000000000	3.200000000000000000000000000000	3.200000000000000000000000000000	NULL	ON(CCCCOP(=O)(O)O)C(=O)COP(=O)(O)O	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	SINGLE PROTEIN
