Mode Resolución Alpha ROC PR
Complete 0.1 0.0 0.8834655209188432 0.17288286528111516
Complete 0.1 0.1 0.8792254465847532 0.169559932923764
Complete 0.1 0.2 0.8694635802610852 0.16324031324431765
Complete 0.1 0.30000000000000004 0.8505765274189275 0.14757605653868988
Complete 0.1 0.4 0.8169997499847658 0.11873675868811745
Complete 0.1 0.5 0.764902195159296 0.08546167987596454
Complete 0.1 0.6000000000000001 0.7025961222975515 0.06927557508352256
Complete 0.1 0.7000000000000001 0.64786574371266 0.05325408141872782
Complete 0.1 0.8 0.6019140290394118 0.05005479654758615
Complete 0.1 0.9 0.6017177524335737 0.050052598321481435
Complete 0.1 1.0 0.4196351714893973 0.007839574000195833
Complete 0.2 0.0 0.8834655209188432 0.17288286528111516
Complete 0.2 0.1 0.8785236557633213 0.16849358921247445
Complete 0.2 0.2 0.8669899943336872 0.1596342517707393
Complete 0.2 0.30000000000000004 0.8457217171821259 0.1371962917029473
Complete 0.2 0.4 0.8097490213274688 0.09556987407017292
Complete 0.2 0.5 0.7539731206416034 0.05187348666632517
Complete 0.2 0.6000000000000001 0.6890418741736486 0.040510225655177125
Complete 0.2 0.7000000000000001 0.6389640018292995 0.03225098083583175
Complete 0.2 0.8 0.6009005597905113 0.030014500870583945
Complete 0.2 0.9 0.6007252527023499 0.03001250717291519
Complete 0.2 1.0 0.4202445618469298 0.007719079692287327
Complete 0.3 0.0 0.8834655209188432 0.17288286528111516
Complete 0.3 0.1 0.8772348509712355 0.16856501861057216
Complete 0.3 0.2 0.8611378176211661 0.15646144143057095
Complete 0.3 0.30000000000000004 0.8343885893217183 0.12505635980989305
Complete 0.3 0.4 0.7971485549720173 0.07355429342315614
Complete 0.3 0.5 0.743961838555619 0.03216817104244429
Complete 0.3 0.6000000000000001 0.68448996074941 0.02558270930768139
Complete 0.3 0.7000000000000001 0.6385537420065797 0.0221607057226975
Complete 0.3 0.8 0.6076897096980858 0.020991841152414533
Complete 0.3 0.9 0.6075939147993019 0.02099076662234541
Complete 0.3 1.0 0.427755582074161 0.007773677566049878
Complete 0.4 0.0 0.8834655209188432 0.17288286528111516
Complete 0.4 0.1 0.8754589573732536 0.16862932023577204
Complete 0.4 0.2 0.8536146116824712 0.1534117250168877
Complete 0.4 0.30000000000000004 0.8187820385649976 0.11782572133536028
Complete 0.4 0.4 0.7789390386139066 0.06414521839233242
Complete 0.4 0.5 0.7276962840488131 0.0246994091665323
Complete 0.4 0.6000000000000001 0.6737178217466212 0.020320855903207882
Complete 0.4 0.7000000000000001 0.637156275854658 0.018667971242444344
Complete 0.4 0.8 0.615031680464269 0.01804693463124485
Complete 0.4 0.9 0.6149620127237253 0.01804617974000077
Complete 0.4 1.0 0.42970026526404503 0.007904679981438506
Complete 0.5 0.0 0.8834655209188432 0.17288286528111516
Complete 0.5 0.1 0.8745595489654134 0.1669879190282127
Complete 0.5 0.2 0.849725993534601 0.14845626970109085
Complete 0.5 0.30000000000000004 0.8103779520717846 0.11069691454642484
Complete 0.5 0.4 0.7699080430567335 0.058040659491918764
Complete 0.5 0.5 0.7240350848705984 0.02254920365929032
Complete 0.5 0.6000000000000001 0.6803565968142686 0.01940291178503356
Complete 0.5 0.7000000000000001 0.6537712763218896 0.018424472457818326
Complete 0.5 0.8 0.6373033458542949 0.018041539024810486
Complete 0.5 0.9 0.6372601281910292 0.018041091249160174
Complete 0.5 1.0 0.4334565185795119 0.008132654396690675
Complete 0.6 0.0 0.8834655209188432 0.17288286528111516
Complete 0.6 0.1 0.8726309472830676 0.16598813654819639
Complete 0.6 0.2 0.8442438724277324 0.1457470851484284
Complete 0.6 0.30000000000000004 0.8001126479955657 0.10633633143004081
Complete 0.6 0.4 0.7565101009946622 0.05292613284607864
Complete 0.6 0.5 0.7124842554433379 0.020460568432446164
Complete 0.6 0.6000000000000001 0.6757987832448499 0.018046770482489725
Complete 0.6 0.7000000000000001 0.6554904782555557 0.017362181599618835
Complete 0.6 0.8 0.6404471782339907 0.01705175508491121
Complete 0.6 0.9 0.640413399229256 0.01705142696187389
Complete 0.6 1.0 0.4214901773133398 0.008155064080213562
Complete 0.7 0.0 0.8834655209188432 0.17288286528111516
Complete 0.7 0.1 0.8713597833628008 0.16668425724148428
Complete 0.7 0.2 0.8403510360129721 0.14594389902307692
Complete 0.7 0.30000000000000004 0.7920894267779791 0.1058045144217635
Complete 0.7 0.4 0.7460647185570687 0.05185148990693326
Complete 0.7 0.5 0.7034285167378056 0.020289277454432663
Complete 0.7 0.6000000000000001 0.6719653011819999 0.018251679160633
Complete 0.7 0.7000000000000001 0.6614503737170812 0.017947664265744172
Complete 0.7 0.8 0.6529113587609287 0.017780379537988923
Complete 0.7 0.9 0.6528812081629538 0.017780100601677055
Complete 0.7 1.0 0.41297529144142897 0.008211526987201716
Complete 0.8 0.0 0.8834655209188432 0.17288286528111516
Complete 0.8 0.1 0.8707740571339061 0.16592979838409241
Complete 0.8 0.2 0.8379934120850792 0.1450851249981308
Complete 0.8 0.30000000000000004 0.7860625302975028 0.10465814704803894
Complete 0.8 0.4 0.7373713482011574 0.051982646401963026
Complete 0.8 0.5 0.6945064855385294 0.021049109212889425
Complete 0.8 0.6000000000000001 0.6637229626635242 0.019074211651807376
Complete 0.8 0.7000000000000001 0.6577333627343048 0.018940453644505306
Complete 0.8 0.8 0.6539480436176685 0.018867142086125586
Complete 0.8 0.9 0.6539250068005982 0.01886693242296861
Complete 0.8 1.0 0.40853627965659634 0.0082564479855152
Complete 0.9 0.0 0.8834655209188432 0.17288286528111516
Complete 0.9 0.1 0.8694037007922197 0.16567335914557788
Complete 0.9 0.2 0.8341243931904798 0.14356778451906138
Complete 0.9 0.30000000000000004 0.7781156164821109 0.10335143401020601
Complete 0.9 0.4 0.7266931787878277 0.05181923440191312
Complete 0.9 0.5 0.6826070068405179 0.02168265684517104
Complete 0.9 0.6000000000000001 0.6527182584552762 0.019860604561266808
Complete 0.9 0.7000000000000001 0.6492701313582553 0.019783789708949562
Complete 0.9 0.8 0.6467322049579964 0.019738185574504696
Complete 0.9 0.9 0.6467178193232345 0.019738057456569383
Complete 0.9 1.0 0.3981471094352032 0.008259697877979593
Complete 1.0 0.0 0.8834655209188432 0.17288286528111516
Complete 1.0 0.1 0.8683456224994112 0.16559854528088228
Complete 1.0 0.2 0.8300002540123784 0.1411112083129425
Complete 1.0 0.30000000000000004 0.7696641189599631 0.10117627222619902
Complete 1.0 0.4 0.7148365093730523 0.05414134372771352
Complete 1.0 0.5 0.6678719963894105 0.029122855521382454
Complete 1.0 0.6000000000000001 0.6385386716380341 0.0275525564723152
Complete 1.0 0.7000000000000001 0.636427300569129 0.027508023299873792
Complete 1.0 0.8 0.6350111195059105 0.02748584396026396
Complete 1.0 0.9 0.6350062424523092 0.027485800631871143
Complete 1.0 1.0 0.3975840646829504 0.008157311708913251
Annotation 0.1 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.1 0.1 0.8800866207609465 0.16750304024003426
Annotation 0.1 0.2 0.8713844256114116 0.15619683907805987
Annotation 0.1 0.30000000000000004 0.8536082603769631 0.1416757762480229
Annotation 0.1 0.4 0.8206802831684414 0.11763287122713467
Annotation 0.1 0.5 0.767692373919596 0.0875428313060589
Annotation 0.1 0.6000000000000001 0.7004011246602739 0.06430205457233776
Annotation 0.1 0.7000000000000001 0.6298891953621643 0.040111043547122645
Annotation 0.1 0.8 0.5568057691320857 0.03565429303178523
Annotation 0.1 0.9 0.5565032149105255 0.03565154075227758
Annotation 0.1 1.0 0.38082009116514415 0.007462409323182352
Annotation 0.2 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.2 0.1 0.8796580700947287 0.17029244906584112
Annotation 0.2 0.2 0.8704662303775476 0.164596610948905
