r	c	r*c	e	time
2	2	4	2	0	34
2	2	4	2	1	18
2	2	4	3	2	20
2	2	4	2	3	16
2	2	4	4	4	23
5	5	25	12	0	239
5	5	25	15	1	284
5	5	25	13	2	252
5	5	25	14	3	268
5	5	25	11	4	226
10	10	100	48	0	2805
10	10	100	53	1	2758
10	10	100	56	2	2686
10	10	100	55	3	2389
10	10	100	61	4	2403
50	50	2500	1242	0	722390
50	50	2500	1198	1	719591
50	50	2500	1247	2	719486
50	50	2500	1216	3	718344
50	50	2500	1249	4	728376
100	100	10000	4931	0	8954270
100	100	10000	4970	1	8973710
100	100	10000	4940	2	8980788
100	100	10000	5003	3	8950109
100	100	10000	4936	4	9350094
250	250	62500	31298	0	308921827
250	250	62500	31268	1	305267855
250	250	62500	31231	2	310213916
250	250	62500	31284	3	308255532
250	250	62500	31232	4	311680793
