r	c	r*c	e	time
2	2	4	2	0	27
2	2	4	2	1	14
2	2	4	3	2	16
2	2	4	2	3	13
2	2	4	4	4	19
5	5	25	12	0	198
5	5	25	15	1	235
5	5	25	13	2	210
5	5	25	14	3	243
5	5	25	11	4	501
10	10	100	48	0	4553
10	10	100	53	1	5711
10	10	100	56	2	4155
10	10	100	55	3	9190
10	10	100	61	4	5580
50	50	2500	1242	0	1446001
50	50	2500	1198	1	866685
50	50	2500	1247	2	868748
50	50	2500	1216	3	780841
50	50	2500	1249	4	735669
100	100	10000	4931	0	9906272
100	100	10000	4970	1	11253265
100	100	10000	4940	2	10992435
100	100	10000	5003	3	10526615
100	100	10000	4936	4	9037336
250	250	62500	31298	0	347168771
