r	c	r*c	e	iteration	time
1	1	1	1	0	33
1	1	1	1	1	10
1	1	1	0	2	8
1	1	1	0	3	8
1	1	1	1	4	6
101	101	10201	5035	0	11023097
101	101	10201	5042	1	9319573
101	101	10201	5027	2	10060273
101	101	10201	5104	3	10060881
101	101	10201	5059	4	9338115
201	201	40401	20089	0	135593497
201	201	40401	20347	1	136350283
201	201	40401	20170	2	136243917
201	201	40401	20210	3	136168003
201	201	40401	20217	4	136114622
301	301	90601	45280	0	651491946
301	301	90601	45404	1	719924457
301	301	90601	45230	2	723490679
301	301	90601	45317	3	674431889
301	301	90601	45332	4	720716403
401	401	160801	80260	0	2300716494
401	401	160801	80406	1	2368303923
401	401	160801	80436	2	2367195853
401	401	160801	80271	3	2393080090
401	401	160801	80463	4	2350433801
501	501	251001	125831	0	6048472524
501	501	251001	125407	1	5784443563
501	501	251001	125617	2	6109715076
501	501	251001	125521	3	5849466407
