r	c	r*c	e	iteration	time
1	1	1	1	0	11
1	1	1	1	1	7
1	1	1	0	2	1
1	1	1	0	3	1
1	1	1	1	4	1
101	101	10201	5035	0	2462706
101	101	10201	5042	1	2499124
101	101	10201	5027	2	2455674
101	101	10201	5104	3	2449674
101	101	10201	5059	4	2455124
201	201	40401	20089	0	37971526
201	201	40401	20347	1	36191401
201	201	40401	20170	2	35226590
201	201	40401	20210	3	37082090
201	201	40401	20217	4	34199845
301	301	90601	45280	0	169608189
301	301	90601	45404	1	164633158
301	301	90601	45230	2	195373178
301	301	90601	45317	3	171161247
301	301	90601	45332	4	232207859
