Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean
CA_ACC_DON,1.5,5,6,Srel,0.7732253086,0.5481481481,0.7819444444,0.8708333333,0.7179012346,0.662345679,0.8955246914,0.900154321,0.5450617284,0.674382716,0.7369521605
CA_ACC_DON,1.5,5,6,Tanimoto,0.7732253086,0.5481481481,0.7819444444,0.8708333333,0.7179012346,0.662345679,0.8955246914,0.900154321,0.5450617284,0.674382716,0.7369521605
CA_CB_ACC_DON,1.5,5,6,SrelScore08,0.7741512346,0.619058642,0.7777777778,0.8733024691,0.6696759259,0.6110339506,0.9208333333,0.8924382716,0.5388888889,0.6813271605,0.7358487654
CA_CB_ACC_DON,1.5,5,6,Srel,0.7783950617,0.5987654321,0.7712962963,0.8663580247,0.6783950617,0.6161265432,0.9223765432,0.8953703704,0.5399691358,0.6878858025,0.7354938272
CA_CB_ACC_DON,1.5,5,6,Tanimoto,0.7783950617,0.5987654321,0.7712962963,0.8663580247,0.6783950617,0.6161265432,0.9223765432,0.8953703704,0.5399691358,0.6878858025,0.7354938272
CA_ACC_DON,1.5,5,6,SrelScore08,0.7639660494,0.5526234568,0.7816358025,0.8800925926,0.7018518519,0.6554012346,0.8906635802,0.8976080247,0.5423611111,0.668441358,0.7334645062
CA_CB_ACC_DON,2.5,5,6,SrelScore05,0.5875771605,0.6922839506,0.8278549383,0.9305555556,0.6978395062,0.5257716049,0.9423611111,0.8895061728,0.5516203704,0.6359567901,0.728132716
CA_CB_ACC_DON,2.5,5,6,SrelScore08,0.5908179012,0.6499228395,0.8347222222,0.9353395062,0.6970679012,0.5271604938,0.9463734568,0.8901234568,0.5494598765,0.6441358025,0.7265123457
CA_CB_ACC_DON,2.5,5,6,Srel,0.5929783951,0.6324845679,0.837962963,0.9358024691,0.6900462963,0.5297839506,0.9447530864,0.8899691358,0.5404320988,0.6478395062,0.7242052469
CA_CB_ACC_DON,2.5,5,6,Tanimoto,0.5929783951,0.6324845679,0.837962963,0.9358024691,0.6900462963,0.5297839506,0.9447530864,0.8899691358,0.5404320988,0.6478395062,0.7242052469
CA_CB_ACC_DON,2,5,6,SrelScore05,0.6793981481,0.656867284,0.8172839506,0.9078703704,0.6765432099,0.5197530864,0.9358024691,0.8904320988,0.5374228395,0.6142746914,0.7235648148
CA_CB_ACC_DON,1.5,5,6,SrelScore05,0.7186728395,0.649537037,0.7763117284,0.8804012346,0.6425925926,0.587962963,0.9098765432,0.8891975309,0.5202160494,0.6398148148,0.7214583333
CA_CB_ACC_DON,2,5,6,SrelScore08,0.6897376543,0.5979166667,0.8032407407,0.913117284,0.6717592593,0.5427469136,0.938117284,0.8910493827,0.5432098765,0.6212962963,0.7212191358
CA_ACC_DON,2,5,6,SrelScore08,0.6561728395,0.5757716049,0.800617284,0.9198302469,0.6877314815,0.5734567901,0.9327160494,0.8904320988,0.5387345679,0.6273919753,0.7202854938
CA_ACC_DON,1.5,5,6,SrelScore05,0.7138888889,0.5823302469,0.7728395062,0.8941358025,0.6587962963,0.6178240741,0.8877314815,0.8915123457,0.5502314815,0.6298611111,0.7199151235
CA_ACC_DON,2,5,6,SrelScore05,0.6332561728,0.5825617284,0.8078703704,0.9188271605,0.6792438272,0.5520833333,0.930941358,0.8896604938,0.587808642,0.6155864198,0.7197839506
CA_CB_ACC_DON,2,5,6,Srel,0.6983024691,0.574382716,0.7984567901,0.913117284,0.6557098765,0.5474537037,0.9378858025,0.8915123457,0.5361111111,0.6314814815,0.718441358
CA_CB_ACC_DON,2,5,6,Tanimoto,0.6983024691,0.574382716,0.7984567901,0.913117284,0.6557098765,0.5474537037,0.9378858025,0.8915123457,0.5361111111,0.6314814815,0.718441358
CA_ACC_DON,2,5,6,Srel,0.6652777778,0.5666666667,0.7978395062,0.9175925926,0.6820216049,0.574691358,0.9275462963,0.8910493827,0.518287037,0.6282407407,0.7169212963
CA_ACC_DON,2,5,6,Tanimoto,0.6652777778,0.5666666667,0.7978395062,0.9175925926,0.6820216049,0.574691358,0.9275462963,0.8910493827,0.518287037,0.6282407407,0.7169212963
CA_ACC_DON,2.5,5,6,SrelScore08,0.5448302469,0.6109567901,0.8380401235,0.9283950617,0.6694444444,0.4988425926,0.9392746914,0.8904320988,0.5594907407,0.6402777778,0.7119984568
CA_ACC_DON,2.5,5,6,SrelScore05,0.544212963,0.6390432099,0.830632716,0.9280864198,0.6613425926,0.4851080247,0.9414351852,0.8895061728,0.5654320988,0.6288580247,0.7113657407
CA_ACC_DON,2.5,5,6,Srel,0.5410493827,0.5932098765,0.8374228395,0.9299382716,0.6645833333,0.5032407407,0.9339506173,0.8902777778,0.5530864198,0.6425154321,0.7089274691
CA_ACC_DON,2.5,5,6,Tanimoto,0.5410493827,0.5932098765,0.8374228395,0.9299382716,0.6645833333,0.5032407407,0.9339506173,0.8902777778,0.5530864198,0.6425154321,0.7089274691
CA_CB_ACC_DON,3.5,5,6,SrelScore05,0.488117284,0.68125,0.800617284,0.9563271605,0.6820216049,0.463117284,0.9478395062,0.8899691358,0.5280092593,0.5972993827,0.7034567901
CA_CB_ACC_DON,3,5,6,SrelScore05,0.5090277778,0.6739969136,0.8168981481,0.9470679012,0.6979938272,0.4833333333,0.9399691358,0.8908950617,0.4706790123,0.562345679,0.699220679
CA_CB_ACC_DON,3,5,6,SrelScore08,0.5049382716,0.6520061728,0.8277777778,0.9526234568,0.7013888889,0.4683641975,0.9450617284,0.8905864198,0.4763117284,0.569367284,0.6988425926
CA_CB_ACC_DON,3,5,6,Srel,0.5090277778,0.6374228395,0.8297067901,0.9541666667,0.6982253086,0.4536265432,0.9490740741,0.8896604938,0.487962963,0.5779320988,0.6986805556
CA_CB_ACC_DON,3,5,6,Tanimoto,0.5090277778,0.6374228395,0.8297067901,0.9541666667,0.6982253086,0.4536265432,0.9490740741,0.8896604938,0.487962963,0.5779320988,0.6986805556
CA_ACC_DON,3,5,6,SrelScore05,0.4883487654,0.6476080247,0.8277777778,0.9425925926,0.6894290123,0.4706790123,0.9466820988,0.8919753086,0.4963734568,0.5572530864,0.6958719136
CA_CB_ACC_DON,3.5,5,6,SrelScore08,0.4685185185,0.6354938272,0.8053240741,0.962191358,0.6884259259,0.4524691358,0.9512345679,0.8899691358,0.4967592593,0.5900462963,0.6940432099
CA_ACC_DON,3,5,6,SrelScore08,0.4794753086,0.6362654321,0.8266203704,0.9510802469,0.6807098765,0.4528549383,0.9521604938,0.8910493827,0.4925154321,0.5750771605,0.6937808642
CA_CB_ACC_DON,3.5,5,6,Srel,0.4587962963,0.6099537037,0.8081790123,0.961882716,0.693287037,0.4610339506,0.9521604938,0.8898148148,0.4805555556,0.5905092593,0.690617284
CA_CB_ACC_DON,3.5,5,6,Tanimoto,0.4587962963,0.6099537037,0.8081790123,0.961882716,0.693287037,0.4610339506,0.9521604938,0.8898148148,0.4805555556,0.5905092593,0.690617284
CA_ACC_DON,3,5,6,Srel,0.475462963,0.6231481481,0.8270061728,0.9528549383,0.6682098765,0.4404320988,0.950308642,0.8910493827,0.494367284,0.5827160494,0.6905555556
CA_ACC_DON,3,5,6,Tanimoto,0.475462963,0.6231481481,0.8270061728,0.9528549383,0.6682098765,0.4404320988,0.950308642,0.8910493827,0.494367284,0.5827160494,0.6905555556
CA_ACC_DON,3.5,5,6,SrelScore05,0.4290123457,0.6569444444,0.7890432099,0.9601851852,0.6722993827,0.4445216049,0.950617284,0.8913580247,0.4841820988,0.6018518519,0.6880015432
CA_ACC_DON,3.5,5,6,SrelScore08,0.4387345679,0.6213734568,0.7939814815,0.9683641975,0.6833333333,0.4444444444,0.956712963,0.8916666667,0.4784722222,0.5905092593,0.6867592593
CA_ACC_DON,3.5,5,6,Srel,0.4382716049,0.6092592593,0.7962191358,0.96875,0.6900462963,0.4418209877,0.9604938272,0.8918209877,0.4781635802,0.5920524691,0.6866898148
CA_ACC_DON,3.5,5,6,Tanimoto,0.4382716049,0.6092592593,0.7962191358,0.96875,0.6900462963,0.4418209877,0.9604938272,0.8918209877,0.4781635802,0.5920524691,0.6866898148
CA,3.5,5,6,SrelScore05,0.5,0.5533950617,0.8536265432,0.8756944444,0.7607253086,0.4969135802,0.7462962963,0.8699074074,0.6,0.5131944444,0.6769753086
CA,2.5,5,6,SrelScore08,0.5,0.556095679,0.8415123457,0.8836419753,0.7654320988,0.499382716,0.7358024691,0.874691358,0.5782407407,0.5334876543,0.6768287037
CA,3.5,5,6,SrelScore08,0.5,0.555787037,0.8601080247,0.8731481481,0.7630401235,0.4972993827,0.7268518519,0.8695987654,0.5830246914,0.5299382716,0.6758796296
CA,3,5,6,SrelScore05,0.5,0.5535493827,0.8465277778,0.8617283951,0.7522376543,0.4969135802,0.7511574074,0.8699074074,0.5956018519,0.5243055556,0.6751929012
CA,2.5,5,6,Srel,0.5,0.556712963,0.8364197531,0.8716049383,0.7719135802,0.499691358,0.7226851852,0.8759259259,0.5789351852,0.5307098765,0.6744598765
CA,2.5,5,6,Tanimoto,0.5,0.556712963,0.8364197531,0.8716049383,0.7719135802,0.499691358,0.7226851852,0.8759259259,0.5789351852,0.5307098765,0.6744598765
CA,3,5,6,SrelScore08,0.5,0.555787037,0.8551697531,0.8646604938,0.7499228395,0.4972993827,0.7316358025,0.8720679012,0.5830246914,0.5321759259,0.6741743827
CA,3.5,5,6,Srel,0.5,0.5564814815,0.8525462963,0.8675925926,0.7545524691,0.4975308642,0.7162037037,0.8694444444,0.581558642,0.5316358025,0.6727546296
CA,3.5,5,6,Tanimoto,0.5,0.5564814815,0.8525462963,0.8675925926,0.7545524691,0.4975308642,0.7162037037,0.8694444444,0.581558642,0.5316358025,0.6727546296
CA,3,5,6,Srel,0.5,0.5564814815,0.8561728395,0.8550154321,0.7516975309,0.4975308642,0.7206790123,0.8725308642,0.581558642,0.5325617284,0.6724228395
CA,3,5,6,Tanimoto,0.5,0.5564814815,0.8561728395,0.8550154321,0.7516975309,0.4975308642,0.7206790123,0.8725308642,0.581558642,0.5325617284,0.6724228395
CA,2.5,5,6,SrelScore05,0.5,0.5540895062,0.8229938272,0.8739197531,0.7509259259,0.4989197531,0.7479938272,0.8711419753,0.5685185185,0.5252314815,0.6713734568
CA,2,5,6,Srel,0.5,0.556558642,0.800462963,0.8012345679,0.7742283951,0.5,0.7487654321,0.8845679012,0.5720679012,0.5462962963,0.6684182099
CA,2,5,6,Tanimoto,0.5,0.556558642,0.800462963,0.8012345679,0.7742283951,0.5,0.7487654321,0.8845679012,0.5720679012,0.5462962963,0.6684182099
CA,2,5,6,SrelScore08,0.5,0.555941358,0.800308642,0.8021604938,0.7537037037,0.5,0.7445987654,0.8837962963,0.5689814815,0.544212963,0.6653703704
CA,1.5,5,6,SrelScore08,0.5,0.5547067901,0.7574074074,0.7952932099,0.7345679012,0.5,0.7461419753,0.8927469136,0.5731481481,0.5421296296,0.6596141975
CA,2,5,6,SrelScore05,0.5,0.5540895062,0.8055555556,0.8310185185,0.6984567901,0.5,0.736882716,0.8776234568,0.5591820988,0.530632716,0.6593441358
CA,1.5,5,6,Srel,0.5,0.5528549383,0.7532407407,0.7770061728,0.7484567901,0.5,0.7390432099,0.8944444444,0.5709876543,0.5398919753,0.6575925926
CA,1.5,5,6,Tanimoto,0.5,0.5528549383,0.7532407407,0.7770061728,0.7484567901,0.5,0.7390432099,0.8944444444,0.5709876543,0.5398919753,0.6575925926
CA,1.5,5,6,SrelScore05,0.5,0.5537808642,0.7538580247,0.8157407407,0.6787037037,0.5,0.7482253086,0.8862654321,0.574382716,0.530941358,0.6541898148
CA_CB,3.5,5,6,SrelScore05,0.4904320988,0.5278549383,0.8210648148,0.8958333333,0.625,0.3548611111,0.8855709877,0.869212963,0.5297839506,0.5091820988,0.6508796296
CA_CB,3.5,5,6,SrelScore08,0.4912037037,0.5258487654,0.8213734568,0.8972222222,0.625154321,0.3733024691,0.8893518519,0.8666666667,0.5255401235,0.4915895062,0.6507253086
CA_CB,2.5,5,6,SrelScore08,0.4923611111,0.5588734568,0.8183641975,0.8875771605,0.6215277778,0.3488425926,0.8521604938,0.8736111111,0.5250771605,0.525462963,0.6503858025
CA_CB,2.5,5,6,Srel,0.4929012346,0.5698302469,0.8146604938,0.8861111111,0.6195987654,0.3535493827,0.8454475309,0.8729166667,0.5195216049,0.5209876543,0.6495524691
CA_CB,2.5,5,6,Tanimoto,0.4929012346,0.5698302469,0.8146604938,0.8861111111,0.6195987654,0.3535493827,0.8454475309,0.8729166667,0.5195216049,0.5209876543,0.6495524691
CA_CB,3.5,5,6,Srel,0.4912037037,0.5252314815,0.8213734568,0.8959876543,0.6209876543,0.3843364198,0.8798611111,0.8680555556,0.5257716049,0.481404321,0.6494212963
CA_CB,3.5,5,6,Tanimoto,0.4912037037,0.5252314815,0.8213734568,0.8959876543,0.6209876543,0.3843364198,0.8798611111,0.8680555556,0.5257716049,0.481404321,0.6494212963
CA,3.5,5,6,SOScore05,0.4904320988,0.5422839506,0.7733796296,0.7832561728,0.7746141975,0.4932098765,0.7010030864,0.824382716,0.5947530864,0.5016203704,0.6478935185
CA_CB,2.5,5,6,SrelScore05,0.4915895062,0.5320216049,0.7966049383,0.8810185185,0.6303240741,0.3453703704,0.8740740741,0.8648148148,0.5323302469,0.5143518519,0.64625
CA,1.5,5,6,aaScore08,0.4867283951,0.5508487654,0.7834876543,0.837808642,0.6987654321,0.5,0.6787037037,0.8047839506,0.568132716,0.5145061728,0.6423765432
CA_CB,2,5,6,SrelScore05,0.4915895062,0.5731481481,0.7952160494,0.8347222222,0.6589506173,0.3523148148,0.8447530864,0.8332561728,0.5202932099,0.5189814815,0.6423225309
CA_CB,2,5,6,SrelScore08,0.4936728395,0.5662037037,0.8043981481,0.8328703704,0.6493055556,0.3537037037,0.8359567901,0.8438271605,0.5135802469,0.5228395062,0.6416358025
CA,3,5,6,SOScore05,0.4898148148,0.5422839506,0.744212963,0.7804012346,0.7625,0.4932098765,0.6988425926,0.8216049383,0.5730709877,0.5022376543,0.6408179012
CA,2,5,6,aaScore08,0.5,0.5521604938,0.7966049383,0.8027777778,0.725,0.5,0.6547067901,0.762654321,0.5992283951,0.5077932099,0.6400925926
CA,3.5,5,6,SOScore08,0.4899691358,0.5420524691,0.7372685185,0.7734567901,0.7795524691,0.4915123457,0.6791666667,0.8189814815,0.5853395062,0.5030092593,0.6400308642
CA_CB,2,5,6,Srel,0.4952160494,0.5769290123,0.8072530864,0.8222222222,0.6395061728,0.3600308642,0.8229938272,0.8452932099,0.512654321,0.5141975309,0.6396296296
CA_CB,2,5,6,Tanimoto,0.4952160494,0.5769290123,0.8072530864,0.8222222222,0.6395061728,0.3600308642,0.8229938272,0.8452932099,0.512654321,0.5141975309,0.6396296296
CA,2.5,5,6,SOScore05,0.4928240741,0.5425925926,0.7506944444,0.7798611111,0.7454475309,0.4945987654,0.7116512346,0.8239197531,0.5499228395,0.5020833333,0.6393595679
CA_CB_ACC_DON,3.5,5,6,RMSD,0.7635030864,0.5022376543,0.6412808642,0.6407407407,0.4470679012,0.6425154321,0.7030864198,0.8895061728,0.5359567901,0.6178240741,0.6383719136
CA,2.5,5,6,SOScore08,0.4929783951,0.5427469136,0.744058642,0.7554783951,0.7733796296,0.4930555556,0.6817901235,0.8212962963,0.5545524691,0.5019290123,0.6361265432
CA,1.5,5,6,aaScore05,0.487345679,0.5476851852,0.7850308642,0.7956790123,0.7060185185,0.5,0.6706790123,0.7788580247,0.5671296296,0.5166666667,0.6355092593
CA,3,5,6,SOScore08,0.4899691358,0.5423611111,0.7264660494,0.76875,0.768595679,0.4915123457,0.6722993827,0.8182098765,0.5712962963,0.5037808642,0.6353240741
CA,3.5,5,6,SO,0.4905864198,0.5392746914,0.725308642,0.7581018519,0.7766975309,0.4924382716,0.6671296296,0.8009259259,0.5869598765,0.5063271605,0.634375
CA,2.5,5,6,SO,0.494212963,0.5401234568,0.7396604938,0.7453703704,0.7830246914,0.4949074074,0.6632716049,0.8154320988,0.5583333333,0.5042438272,0.6338580247
