Pockets con,CA,CB,ACC,DON,GRE,total,AUC
1PE,8.7,3.1,13.6,13.5,40.8,79.7,0.679398148148
BOG,9.1,2.5,13.7,13.3,31.2,69.8,0.549845679012
GSH,8.8,3.7,16.3,16.5,28.2,73.5,0.930401234568
LDA,6.2,2.1,9,9.7,38.3,64.7,0.709953703704
LLP,20.3,7.8,30.1,32.2,35,125.4,0.941666666667
PLM,14,3.4,17.4,17.1,46.3,98.2,0.731481481481
PMP,12.9,6.1,22.4,25.4,21.8,88.6,0.918595679012
SAM,17.9,4.2,25.3,24.3,37.6,109.3,0.788271604938
SUC,8.4,4.7,16.5,18.1,26.1,73.8,0.625462962963
U5P,13.6,3.9,19.1,21.3,21.1,79,0.648919753086
,0.473682382321002,0.661680159114499,0.604502649114365,0.617709405166592,-0.0742552927738283,0.547792776815135,
,,,,,,,
,0.713416814812984,,0.982107960165112,,0.284704278221633,,
