code,class,P/L,atomtype,total
12AS,AMP,PKT,ACC,29
12AS,AMP,PKT,CB,6
12AS,AMP,PKT,CA,16
12AS,AMP,PKT,GRE,19
12AS,AMP,PKT,DON,33
12AS,AMP,PKT,total,103
12AS,AMP,LIG,P,1
12AS,AMP,LIG,C,10
12AS,AMP,LIG,O,7
12AS,AMP,LIG,N,5
12AS,AMP,LIG,total,23
1A0I,ATP,PKT,ACC,17
1A0I,ATP,PKT,CA,11
1A0I,ATP,PKT,GRE,46
1A0I,ATP,PKT,DON,22
1A0I,ATP,PKT,total,96
1A0I,ATP,LIG,P,3
1A0I,ATP,LIG,C,10
1A0I,ATP,LIG,O,13
1A0I,ATP,LIG,N,5
1A0I,ATP,LIG,total,31
1A49,ATP,PKT,ACC,34
1A49,ATP,PKT,CB,8
1A49,ATP,PKT,CA,16
1A49,ATP,PKT,GRE,19
1A49,ATP,PKT,DON,34
1A49,ATP,PKT,total,111
1A49,ATP,LIG,P,3
1A49,ATP,LIG,C,10
1A49,ATP,LIG,O,13
1A49,ATP,LIG,N,5
1A49,ATP,LIG,total,31
1AMU,AMP,PKT,ACC,23
1AMU,AMP,PKT,CB,7
1AMU,AMP,PKT,CA,16
1AMU,AMP,PKT,GRE,32
1AMU,AMP,PKT,DON,25
1AMU,AMP,PKT,total,103
1AMU,AMP,LIG,P,1
1AMU,AMP,LIG,C,10
1AMU,AMP,LIG,O,7
1AMU,AMP,LIG,N,5
1AMU,AMP,LIG,total,23
1AYL,ATP,PKT,ACC,28
1AYL,ATP,PKT,CB,7
1AYL,ATP,PKT,CA,17
1AYL,ATP,PKT,GRE,32
1AYL,ATP,PKT,DON,36
1AYL,ATP,PKT,total,120
1AYL,ATP,LIG,P,3
1AYL,ATP,LIG,C,10
1AYL,ATP,LIG,O,13
1AYL,ATP,LIG,N,5
1AYL,ATP,LIG,total,31
1B8A,ATP,PKT,ACC,27
1B8A,ATP,PKT,CB,4
1B8A,ATP,PKT,CA,14
1B8A,ATP,PKT,GRE,20
1B8A,ATP,PKT,DON,29
1B8A,ATP,PKT,total,94
1B8A,ATP,LIG,P,3
1B8A,ATP,LIG,C,10
1B8A,ATP,LIG,O,13
1B8A,ATP,LIG,N,5
1B8A,ATP,LIG,total,31
1BDG,GLC,PKT,ACC,22
1BDG,GLC,PKT,CB,7
1BDG,GLC,PKT,CA,14
1BDG,GLC,PKT,GRE,19
1BDG,GLC,PKT,DON,22
1BDG,GLC,PKT,total,84
1BDG,GLC,LIG,C,6
1BDG,GLC,LIG,O,6
1BDG,GLC,LIG,total,12
1C0A,AMP,PKT,ACC,10
1C0A,AMP,PKT,CB,1
1C0A,AMP,PKT,CA,11
1C0A,AMP,PKT,GRE,30
1C0A,AMP,PKT,DON,10
1C0A,AMP,PKT,total,62
1C0A,AMP,LIG,P,1
1C0A,AMP,LIG,C,10
1C0A,AMP,LIG,O,7
1C0A,AMP,LIG,N,5
1C0A,AMP,LIG,total,23
1CQ1,BGC,PKT,ACC,9
1CQ1,BGC,PKT,CB,2
1CQ1,BGC,PKT,CA,4
1CQ1,BGC,PKT,GRE,16
1CQ1,BGC,PKT,DON,10
1CQ1,BGC,PKT,total,41
1CQ1,BGC,LIG,C,6
1CQ1,BGC,LIG,O,6
1CQ1,BGC,LIG,total,12
1CQX,FAD,PKT,ACC,36
1CQX,FAD,PKT,CB,5
1CQX,FAD,PKT,CA,27
1CQX,FAD,PKT,GRE,49
1CQX,FAD,PKT,DON,39
1CQX,FAD,PKT,total,156
1CQX,FAD,LIG,P,2
1CQX,FAD,LIG,C,27
1CQX,FAD,LIG,O,15
1CQX,FAD,LIG,N,9
1CQX,FAD,LIG,total,53
1CT9,AMP,PKT,ACC,28
1CT9,AMP,PKT,CB,7
1CT9,AMP,PKT,CA,14
1CT9,AMP,PKT,GRE,16
1CT9,AMP,PKT,DON,22
1CT9,AMP,PKT,total,87
1CT9,AMP,LIG,P,1
1CT9,AMP,LIG,C,10
1CT9,AMP,LIG,O,7
1CT9,AMP,LIG,N,5
1CT9,AMP,LIG,total,23
1D0C,HEM,PKT,ACC,20
1D0C,HEM,PKT,CB,2
1D0C,HEM,PKT,CA,17
1D0C,HEM,PKT,GRE,62
1D0C,HEM,PKT,DON,21
1D0C,HEM,PKT,total,122
1D0C,HEM,LIG,C,34
1D0C,HEM,LIG,FE,1
1D0C,HEM,LIG,O,4
1D0C,HEM,LIG,N,4
1D0C,HEM,LIG,total,43
1D7C,HEM,PKT,ACC,26
1D7C,HEM,PKT,CB,4
1D7C,HEM,PKT,CA,24
1D7C,HEM,PKT,GRE,50
1D7C,HEM,PKT,DON,28
1D7C,HEM,PKT,total,132
1D7C,HEM,LIG,C,34
1D7C,HEM,LIG,FE,1
1D7C,HEM,LIG,O,4
1D7C,HEM,LIG,N,4
1D7C,HEM,LIG,total,43
1DK0,HEM,PKT,ACC,26
1DK0,HEM,PKT,CB,6
1DK0,HEM,PKT,CA,16
1DK0,HEM,PKT,GRE,45
1DK0,HEM,PKT,DON,26
1DK0,HEM,PKT,total,119
1DK0,HEM,LIG,C,34
1DK0,HEM,LIG,FE,1
1DK0,HEM,LIG,O,4
1DK0,HEM,LIG,N,4
1DK0,HEM,LIG,total,43
1DNL,FMN,PKT,ACC,18
1DNL,FMN,PKT,CB,5
1DNL,FMN,PKT,CA,14
1DNL,FMN,PKT,GRE,31
1DNL,FMN,PKT,DON,23
1DNL,FMN,PKT,total,91
1DNL,FMN,LIG,P,1
1DNL,FMN,LIG,C,17
1DNL,FMN,LIG,O,9
1DNL,FMN,LIG,N,4
1DNL,FMN,LIG,total,31
1DV2,ATP,PKT,ACC,21
1DV2,ATP,PKT,CB,1
1DV2,ATP,PKT,CA,11
1DV2,ATP,PKT,GRE,42
1DV2,ATP,PKT,DON,22
1DV2,ATP,PKT,total,97
1DV2,ATP,LIG,P,3
1DV2,ATP,LIG,C,10
1DV2,ATP,LIG,O,13
1DV2,ATP,LIG,N,5
1DV2,ATP,LIG,total,31
1DY3,ATP,PKT,ACC,24
1DY3,ATP,PKT,CB,5
1DY3,ATP,PKT,CA,12
1DY3,ATP,PKT,GRE,32
1DY3,ATP,PKT,DON,31
1DY3,ATP,PKT,total,104
1DY3,ATP,LIG,P,3
1DY3,ATP,LIG,C,10
1DY3,ATP,LIG,O,13
1DY3,ATP,LIG,N,5
1DY3,ATP,LIG,total,31
1E2Q,ATP,PKT,ACC,22
1E2Q,ATP,PKT,CB,4
1E2Q,ATP,PKT,CA,14
1E2Q,ATP,PKT,GRE,16
1E2Q,ATP,PKT,DON,24
1E2Q,ATP,PKT,total,80
1E2Q,ATP,LIG,P,3
1E2Q,ATP,LIG,C,10
1E2Q,ATP,LIG,O,13
1E2Q,ATP,LIG,N,5
1E2Q,ATP,LIG,total,31
1E3R,AND,PKT,ACC,10
1E3R,AND,PKT,CB,2
1E3R,AND,PKT,CA,5
1E3R,AND,PKT,GRE,48
1E3R,AND,PKT,DON,9
1E3R,AND,PKT,total,74
1E3R,AND,LIG,C,19
1E3R,AND,LIG,O,2
1E3R,AND,LIG,total,21
1E8G,FAD,PKT,ACC,47
1E8G,FAD,PKT,CB,7
1E8G,FAD,PKT,CA,30
1E8G,FAD,PKT,GRE,80
1E8G,FAD,PKT,DON,43
1E8G,FAD,PKT,total,207
1E8G,FAD,LIG,P,2
1E8G,FAD,LIG,C,27
1E8G,FAD,LIG,O,15
1E8G,FAD,LIG,N,9
1E8G,FAD,LIG,total,53
1E8X,ATP,PKT,ACC,20
1E8X,ATP,PKT,CB,6
1E8X,ATP,PKT,CA,15
1E8X,ATP,PKT,GRE,47
1E8X,ATP,PKT,DON,18
1E8X,ATP,PKT,total,106
1E8X,ATP,LIG,P,3
1E8X,ATP,LIG,C,10
1E8X,ATP,LIG,O,13
1E8X,ATP,LIG,N,5
1E8X,ATP,LIG,total,31
1EJ2,NAD,PKT,ACC,35
1EJ2,NAD,PKT,CB,7
1EJ2,NAD,PKT,CA,28
1EJ2,NAD,PKT,GRE,50
