Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
Good,0.647789237,0.634327378,0.881115444,0.96939781,0.908895247,0.589651031,0.460358642,0.523850222,0.481230473,0.592403628,0.490032261
Good,0.546087915,0.602685034,0.850553659,0.758302,0.614799496,0.170481902,0.629499543,0.448936418,0.349419856,0.249811036,0.366486136
Good,0.461342005,0.70643658,0.855405201,0.652984943,0.529111461,0.137755423,0.598616653,0.339311791,0.309729777,0.256613757,0.336749996
Good,0.794212207,0.577336318,0.732706141,0.803719964,0.726753028,0.24453692,0.623674078,0.487421437,0.410783763,0.305839002,0.421899324
Good,0.569199511,0.61069332,0.816063806,0.980135127,0.942601677,0.505348067,0.526920757,0.462073661,0.465172146,0.497637944,0.479339762
Good,0.735685704,0.676176013,0.841134018,0.945287339,0.86641298,0.642589538,0.494086383,0.493421514,0.520935471,0.601946334,0.527364467
Good,0.650942066,0.685433524,0.899594853,0.84045753,0.75771251,0.308854104,0.504021253,0.464091025,0.380916463,0.401643991,0.398297911
Good,0.457497016,0.601847779,0.788591779,0.926053105,0.88237302,0.286913756,0.635105287,0.496938844,0.422238573,0.302626606,0.432190187
Good,0.808619288,0.641738937,0.767461265,0.974856922,1,0.60756673,0.558992452,0.5817454,0.572283353,0.623582766,0.584030586
Good,0.673100668,0.822097452,0.954481259,0.829936068,0.817706498,0.531315171,0.397770725,0.474404602,0.434705384,0.706254724,0.453666402
Good,0.68781739,0.549508092,0.840970764,0.89662815,0.834060845,0.389958915,0.543528957,0.720114482,0.512705279,0.435846561,0.526861753
Good,0.470094549,0.711380436,0.897785959,0.823594767,0.813550164,0.236113471,0.538542617,0.493098785,0.358892539,0.324357521,0.388880674
Good,0.958591821,0.605492874,0.789288481,1,0.927107922,1,0.646897446,1,1,1,1
Good,1,0.419354439,0.604922471,0.886954348,0.827680764,0.687877983,0.543646493,0.528538582,0.606926979,0.740362812,0.615835576
Good,0.46908343,0.654424433,0.865024811,0.825638185,0.797814872,0.305962183,0.47463817,0.478233718,0.370574926,0.402588813,0.39058525
Bad,0.578755283,0.782191133,0.947356946,0.798524271,0.768118872,0.40469629,0.385081029,0.2695123,0.319739889,0.537414966,0.350811433
Bad,0.289380462,0.826394651,0.96622214,0.524755093,0.271122929,0.08012222,0.555731206,0.362377901,0.249984729,0.216458806,0.290220147
Bad,0.685117658,0.63269692,0.879623595,0.844685467,0.790632558,0.376774451,0.43769237,0.462252858,0.381053882,0.464852608,0.397424867
Bad,0.296011479,0.835389099,0.953189022,0.522120663,0.391325631,0.098261016,0.501754893,0.287725327,0.245597953,0.251228269,0.288095106
Bad,0.208821225,0.760279322,0.960153373,0.388604114,0.257446927,0.046544022,0.586155312,0.335584366,0.22883148,0.181500378,0.274852912
Bad,0.461487258,0.711607982,0.868949632,0.725126521,0.687042673,0.201513755,0.496028109,0.397324649,0.314061676,0.31840514,0.340129804
Bad,0.176144907,1,1,0.46430556,0.239520504,0.02085411,1,0.469082387,0.233511631,0.068594104,0.271099396
Bad,0.325684001,0.858631893,0.945716439,0.604943457,0.521753545,0.113698232,0.522921361,0.403397835,0.269890359,0.253873772,0.305499273
