Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean
CA_ACC_DON_GRE,2.5,5,6,SrelScore05,0.7105709877,0.625308642,0.7882716049,0.9416666667,0.6486111111,0.6790895062,0.9304012346,0.9175925926,0.7314814815,0.549845679,0.7522839506
CA_ACC_DON_GRE,3.5,5,6,SrelScore05,0.7037037037,0.662962963,0.7863425926,0.9552469136,0.6514660494,0.662191358,0.9392746914,0.9043209877,0.7608796296,0.4867283951,0.7513117284
CA_ACC_DON_GRE,1.5,5,6,SrelScore08,0.7195216049,0.6317901235,0.7388888889,0.8939814815,0.7040895062,0.699382716,0.9003858025,0.9453703704,0.6546296296,0.613117284,0.7501157407
CA_ACC_DON_GRE,1.5,5,6,Srel,0.7031635802,0.6094135802,0.7405864198,0.8919753086,0.7212962963,0.6926697531,0.9019290123,0.9422839506,0.6491512346,0.6171296296,0.7469598765
CA_ACC_DON_GRE,1.5,5,6,Tanimoto,0.7031635802,0.6094135802,0.7405864198,0.8919753086,0.7212962963,0.6926697531,0.9019290123,0.9422839506,0.6491512346,0.6171296296,0.7469598765
CA_ACC_DON_GRE,3,5,6,SrelScore05,0.7108796296,0.6231481481,0.7916666667,0.9484567901,0.6685185185,0.6560185185,0.9418981481,0.9232253086,0.7148919753,0.4825617284,0.7461265432
CA_ACC_DON_GRE,2.5,5,6,SrelScore08,0.6833333333,0.6051697531,0.8054012346,0.9441358025,0.6787808642,0.6826388889,0.925462963,0.9172839506,0.6668209877,0.5491512346,0.7458179012
CA_ACC_DON_GRE,3.5,5,6,SrelScore08,0.6875771605,0.6305555556,0.799845679,0.9594135802,0.6600308642,0.668441358,0.9442901235,0.9016975309,0.7098765432,0.4925925926,0.7454320988
CA_ACC_DON_GRE,1.5,5,6,SrelScore05,0.7218364198,0.6461419753,0.7441358025,0.8865740741,0.6511574074,0.6891203704,0.8946759259,0.9489197531,0.6670524691,0.5941358025,0.744375
CA_ACC_DON_GRE,2.5,5,6,Srel,0.6707561728,0.593441358,0.8111111111,0.9422839506,0.6774691358,0.6772376543,0.9266975309,0.9155864198,0.6476080247,0.5500771605,0.7412268519
CA_ACC_DON_GRE,2.5,5,6,Tanimoto,0.6707561728,0.593441358,0.8111111111,0.9422839506,0.6774691358,0.6772376543,0.9266975309,0.9155864198,0.6476080247,0.5500771605,0.7412268519
CA_ACC_DON_GRE,3.5,5,6,Srel,0.6770061728,0.6111111111,0.7996141975,0.9591049383,0.6586419753,0.6677469136,0.9456790123,0.9023148148,0.6939814815,0.4898148148,0.7405015432
CA_ACC_DON_GRE,3.5,5,6,Tanimoto,0.6770061728,0.6111111111,0.7996141975,0.9591049383,0.6586419753,0.6677469136,0.9456790123,0.9023148148,0.6939814815,0.4898148148,0.7405015432
CA_ACC_DON_GRE,3,5,6,SrelScore08,0.6844907407,0.5899691358,0.8103395062,0.9516975309,0.6744598765,0.6628858025,0.938117284,0.9104938272,0.6865740741,0.4831790123,0.739220679
CA_ACC_DON,1.5,5,6,Srel,0.7729166667,0.5472222222,0.7819444444,0.8708333333,0.7179012346,0.662037037,0.8955246914,0.9016975309,0.5450617284,0.674382716,0.7369521605
CA_ACC_DON,1.5,5,6,Tanimoto,0.7729166667,0.5472222222,0.7819444444,0.8708333333,0.7179012346,0.662037037,0.8955246914,0.9016975309,0.5450617284,0.674382716,0.7369521605
