Atomtypes,Cuttoff,Ncliques,Dist_Thr,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean
CA_ACC_DON,1.5,5,7.5,6,SrelScore05,0.659,0.598,0.759,0.894,0.723,0.711,0.877,0.935,0.711,0.676,0.754
CA_ACC_DON,1.5,5,7.5,6,SrelScore08,0.655,0.558,0.759,0.896,0.754,0.696,0.870,0.945,0.679,0.692,0.750
CA_ACC_DON,1.5,5,10,6,SrelScore05,0.649,0.546,0.765,0.895,0.713,0.729,0.892,0.933,0.699,0.666,0.749
CA_ACC_DON,1.5,5,10,6,SrelScore08,0.657,0.529,0.763,0.889,0.741,0.706,0.879,0.933,0.681,0.700,0.748
CA_CB_ACC_DON,1.5,5,10,6,SrelScore05,0.641,0.568,0.755,0.889,0.714,0.726,0.869,0.908,0.727,0.671,0.747
CA_ACC_DON,1.5,5,5,6,SrelScore08,0.646,0.530,0.758,0.911,0.747,0.714,0.880,0.920,0.678,0.667,0.745
CA_ACC_DON,1.5,5,10,6,Srel,0.655,0.518,0.759,0.890,0.744,0.695,0.869,0.932,0.675,0.704,0.744
CA_ACC_DON,1.5,5,10,6,Tanimoto,0.655,0.518,0.759,0.890,0.744,0.695,0.869,0.932,0.675,0.704,0.744
CA_ACC_DON,1.5,5,12.5,6,SrelScore08,0.660,0.543,0.778,0.890,0.716,0.680,0.871,0.939,0.668,0.696,0.744
CA_ACC_DON,1.5,5,12.5,6,SrelScore05,0.643,0.583,0.772,0.893,0.681,0.694,0.880,0.931,0.700,0.659,0.744
CA_ACC_DON,1.5,5,5,6,SrelScore05,0.630,0.571,0.749,0.910,0.699,0.726,0.893,0.922,0.696,0.640,0.744
CA_ACC_DON,1.5,5,7.5,6,Srel,0.645,0.537,0.760,0.893,0.752,0.685,0.857,0.942,0.667,0.691,0.743
CA_ACC_DON,1.5,5,7.5,6,Tanimoto,0.645,0.537,0.760,0.893,0.752,0.685,0.857,0.942,0.667,0.691,0.743
CA_ACC_DON,1.5,5,12.5,6,Srel,0.659,0.532,0.781,0.886,0.725,0.679,0.863,0.935,0.667,0.703,0.743
CA_ACC_DON,1.5,5,12.5,6,Tanimoto,0.659,0.532,0.781,0.886,0.725,0.679,0.863,0.935,0.667,0.703,0.743
CA_CB_ACC_DON,1.5,5,10,6,SrelScore08,0.674,0.534,0.750,0.895,0.714,0.727,0.859,0.913,0.693,0.667,0.743
CA_ACC_DON,1.5,5,5,6,Srel,0.643,0.507,0.759,0.908,0.756,0.702,0.872,0.914,0.670,0.685,0.742
CA_ACC_DON,1.5,5,5,6,Tanimoto,0.643,0.507,0.759,0.908,0.756,0.702,0.872,0.914,0.670,0.685,0.742
CA_CB_ACC_DON,1.5,5,12.5,6,SrelScore05,0.651,0.541,0.750,0.892,0.721,0.711,0.867,0.909,0.719,0.647,0.741
CA_CB_ACC_DON,1.5,5,12.5,6,SrelScore08,0.675,0.516,0.754,0.898,0.724,0.714,0.860,0.911,0.699,0.650,0.740
CA_CB_ACC_DON,1.5,5,10,6,Srel,0.677,0.511,0.750,0.899,0.707,0.729,0.859,0.914,0.688,0.665,0.740
CA_CB_ACC_DON,1.5,5,10,6,Tanimoto,0.677,0.511,0.750,0.899,0.707,0.729,0.859,0.914,0.688,0.665,0.740
CA_CB_ACC_DON,1.5,5,7.5,6,SrelScore08,0.666,0.518,0.761,0.894,0.721,0.711,0.849,0.926,0.685,0.666,0.740
CA_CB_ACC_DON,1.5,5,7.5,6,SrelScore05,0.636,0.549,0.768,0.879,0.698,0.713,0.853,0.926,0.702,0.670,0.739
CA_CB_ACC_DON,1.5,5,7.5,6,Srel,0.677,0.495,0.759,0.898,0.718,0.715,0.852,0.927,0.682,0.662,0.738
CA_CB_ACC_DON,1.5,5,7.5,6,Tanimoto,0.677,0.495,0.759,0.898,0.718,0.715,0.852,0.927,0.682,0.662,0.738
CA_CB_ACC_DON,2,5,12.5,6,SrelScore08,0.609,0.519,0.777,0.922,0.687,0.686,0.929,0.911,0.720,0.622,0.738
CA_CB_ACC_DON,1.5,5,12.5,6,Srel,0.679,0.500,0.755,0.891,0.720,0.718,0.861,0.912,0.685,0.651,0.737
CA_CB_ACC_DON,1.5,5,12.5,6,Tanimoto,0.679,0.500,0.755,0.891,0.720,0.718,0.861,0.912,0.685,0.651,0.737
CA_CB_ACC_DON,2,5,12.5,6,SrelScore05,0.586,0.559,0.798,0.914,0.662,0.660,0.924,0.914,0.741,0.613,0.737
CA_CB_ACC_DON,2,5,12.5,6,Srel,0.622,0.508,0.772,0.921,0.695,0.679,0.925,0.909,0.698,0.624,0.735
CA_CB_ACC_DON,2,5,12.5,6,Tanimoto,0.622,0.508,0.772,0.921,0.695,0.679,0.925,0.909,0.698,0.624,0.735
CA_CB,2,5,10,6,SrelScore05,0.642,0.556,0.820,0.894,0.691,0.628,0.823,0.947,0.742,0.586,0.733
CA_CB_ACC_DON,1.5,5,5,6,SrelScore08,0.624,0.508,0.727,0.898,0.715,0.708,0.848,0.929,0.697,0.664,0.732
CA_CB,2,5,7.5,6,SrelScore05,0.640,0.557,0.763,0.891,0.667,0.619,0.886,0.937,0.739,0.609,0.731
CA_CB,2,5,12.5,6,SrelScore05,0.616,0.552,0.782,0.879,0.704,0.629,0.833,0.934,0.762,0.616,0.731
CA_ACC_DON,2,5,12.5,6,SrelScore08,0.602,0.548,0.753,0.924,0.698,0.626,0.924,0.920,0.664,0.645,0.730
CA_CB_ACC_DON,1.5,5,5,6,SrelScore05,0.608,0.522,0.732,0.896,0.686,0.701,0.850,0.937,0.718,0.643,0.729
CA_CB_ACC_DON,1.5,5,5,6,Srel,0.621,0.495,0.728,0.895,0.711,0.713,0.850,0.924,0.688,0.662,0.729
CA_CB_ACC_DON,1.5,5,5,6,Tanimoto,0.621,0.495,0.728,0.895,0.711,0.713,0.850,0.924,0.688,0.662,0.729
CA_ACC_DON,2,5,12.5,6,SrelScore05,0.609,0.539,0.754,0.923,0.665,0.634,0.923,0.920,0.674,0.645,0.729
CA_CB_ACC_DON,2,5,10,6,SrelScore05,0.569,0.510,0.791,0.919,0.667,0.647,0.920,0.912,0.728,0.616,0.728
