Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean,Percent
CA_ACC_DON_GRE,3,5,6,SrelScore05,0.7273919753,0.6777777778,0.8079475309,0.9476851852,0.6381944444,0.6545524691,0.9516975309,0.9195987654,0.794367284,0.5387345679,0.7657947531,0
CA_ACC_DON_GRE,3.5,5,6,SrelScore05,0.719212963,0.6695987654,0.7925154321,0.950462963,0.6847222222,0.6786265432,0.9554012346,0.9018518519,0.7692901235,0.5219135802,0.7643595679,0
CA_ACC_DON_GRE,3.5,5,6,SrelScore08,0.7239969136,0.6424382716,0.799845679,0.9507716049,0.6891975309,0.6767746914,0.9554012346,0.9007716049,0.7409722222,0.5293209877,0.7609490741,0
CA_ACC_DON_GRE,1.5,5,6,SrelScore08,0.7520833333,0.6450617284,0.7234567901,0.8958333333,0.7033950617,0.7081018519,0.911882716,0.950308642,0.6851080247,0.6298611111,0.7605092593,0
CA_ACC_DON_GRE,3,5,6,SrelScore08,0.7213734568,0.6545524691,0.8180555556,0.9529320988,0.6290123457,0.6630401235,0.950462963,0.9114197531,0.7510802469,0.5483024691,0.7600231481,0
CA_ACC_DON_GRE,1.5,5,6,Srel,0.7352623457,0.6296296296,0.7212962963,0.8956790123,0.7230709877,0.7114197531,0.9108796296,0.9512345679,0.6747685185,0.6291666667,0.7582407407,0
CA_ACC_DON_GRE,1.5,5,6,Tanimoto,0.7352623457,0.6296296296,0.7212962963,0.8956790123,0.7230709877,0.7114197531,0.9108796296,0.9512345679,0.6747685185,0.6291666667,0.7582407407,0
CA_ACC_DON_GRE,3,5,6,Srel,0.7097993827,0.6472222222,0.8215277778,0.9530864198,0.6334104938,0.6632716049,0.9479938272,0.9100308642,0.7273148148,0.5506944444,0.7564351852,0
CA_ACC_DON_GRE,3,5,6,Tanimoto,0.7097993827,0.6472222222,0.8215277778,0.9530864198,0.6334104938,0.6632716049,0.9479938272,0.9100308642,0.7273148148,0.5506944444,0.7564351852,0
CA_ACC_DON_GRE,3.5,5,6,Srel,0.718904321,0.6256944444,0.8018518519,0.9529320988,0.6864197531,0.6737654321,0.9537037037,0.8978395062,0.7179783951,0.5351080247,0.7564197531,0
CA_ACC_DON_GRE,3.5,5,6,Tanimoto,0.718904321,0.6256944444,0.8018518519,0.9529320988,0.6864197531,0.6737654321,0.9537037037,0.8978395062,0.7179783951,0.5351080247,0.7564197531,0
CA_ACC_DON_GRE,2.5,5,6,SrelScore08,0.7075617284,0.6418981481,0.7655864198,0.9425925926,0.6225308642,0.6587191358,0.9401234568,0.9222222222,0.7472993827,0.555941358,0.7504475309,0
CA_ACC_DON_GRE,1.5,5,6,SrelScore05,0.7624228395,0.64375,0.7335648148,0.888117284,0.6406635802,0.69375,0.9023148148,0.9472993827,0.6984567901,0.5863425926,0.7496682099,0
CA_ACC_DON_GRE,2.5,5,6,SrelScore05,0.7018518519,0.6683641975,0.7655092593,0.9409722222,0.5957561728,0.6457561728,0.943904321,0.9195987654,0.7604938272,0.5471450617,0.7489351852,0
CA_ACC_DON_GRE,2.5,5,6,Srel,0.6989969136,0.6288580247,0.7686728395,0.9417438272,0.6234567901,0.6601851852,0.9398148148,0.9217592593,0.744212963,0.544367284,0.7472067901,0
CA_ACC_DON_GRE,2.5,5,6,Tanimoto,0.6989969136,0.6288580247,0.7686728395,0.9417438272,0.6234567901,0.6601851852,0.9398148148,0.9217592593,0.744212963,0.544367284,0.7472067901,0
CA_ACC_DON_GRE,2,5,6,SrelScore08,0.7041666667,0.6217592593,0.7444444444,0.9191358025,0.6601080247,0.6529320988,0.9405864198,0.9347222222,0.7170524691,0.5650462963,0.7459953704,0
CA_ACC_DON_GRE,2,5,6,Srel,0.7081790123,0.6097993827,0.749691358,0.9177469136,0.6691358025,0.6546296296,0.9406635802,0.9346450617,0.6961419753,0.575154321,0.7455787037,0
CA_ACC_DON_GRE,2,5,6,Tanimoto,0.7081790123,0.6097993827,0.749691358,0.9177469136,0.6691358025,0.6546296296,0.9406635802,0.9346450617,0.6961419753,0.575154321,0.7455787037,0
CA_ACC_DON_GRE,2,5,6,SrelScore05,0.6986111111,0.6520061728,0.7421296296,0.9191358025,0.613117284,0.6574845679,0.9441358025,0.9252314815,0.737345679,0.530632716,0.7419830247,0
CA_ACC_DON,1.5,5,6,Srel,0.7662037037,0.5983024691,0.7793209877,0.874382716,0.7195987654,0.611882716,0.912037037,0.9092592593,0.5507716049,0.6520833333,0.7373842593,0
CA_ACC_DON,1.5,5,6,Tanimoto,0.7662037037,0.5983024691,0.7793209877,0.874382716,0.7195987654,0.611882716,0.912037037,0.9092592593,0.5507716049,0.6520833333,0.7373842593,0
CA_ACC_DON,1.5,5,6,SrelScore08,0.7577932099,0.599537037,0.7814814815,0.8769290123,0.7028549383,0.6180555556,0.9078703704,0.9064814815,0.5491512346,0.6536265432,0.7353780864,0
CA_GRE,3,5,6,SrelScore05,0.7337962963,0.5733796296,0.8063271605,0.8427469136,0.5628858025,0.7114197531,0.7862654321,0.9288580247,0.7640432099,0.5574074074,0.726712963,0
CA_GRE,3.5,5,6,SrelScore05,0.6730709877,0.5762345679,0.7960648148,0.8593364198,0.5782407407,0.6975308642,0.800462963,0.9405864198,0.7648919753,0.5500771605,0.7236496914,0
CA_ACC_DON,1.5,5,6,SrelScore05,0.7,0.6165123457,0.7702160494,0.8827932099,0.6521604938,0.5811728395,0.8988425926,0.9011574074,0.5523148148,0.6424382716,0.7197608025,0
CA_GRE,3,5,6,SrelScore08,0.725462963,0.556712963,0.8114969136,0.8521604938,0.5865740741,0.7263888889,0.7265432099,0.9174382716,0.7230709877,0.555941358,0.7181790123,0
CA_GRE,3,5,6,Srel,0.7234567901,0.5574845679,0.8023919753,0.8547839506,0.6018518519,0.7319444444,0.7141203704,0.9195987654,0.6987654321,0.5469135802,0.7151311728,0
CA_GRE,3,5,6,Tanimoto,0.7234567901,0.5574845679,0.8023919753,0.8547839506,0.6018518519,0.7319444444,0.7141203704,0.9195987654,0.6987654321,0.5469135802,0.7151311728,0
ACC_DON_GRE,1.5,5,6,SrelScore05,0.6401234568,0.7010802469,0.7275462963,0.9042438272,0.6288580247,0.5739197531,0.9172067901,0.8979938272,0.6853395062,0.4692901235,0.7145601852,0
CA_GRE,2.5,5,6,SrelScore05,0.7095679012,0.5807098765,0.8163580247,0.8224537037,0.5262345679,0.6982253086,0.7671296296,0.9367283951,0.7393518519,0.5339506173,0.7130709877,0
CA_ACC_DON,2,5,6,SrelScore08,0.668287037,0.5446759259,0.7970679012,0.9257716049,0.6588734568,0.531712963,0.9409722222,0.8929012346,0.5189814815,0.6325617284,0.7111805556,0
CA_ACC_DON,2,5,6,Srel,0.6730709877,0.5270833333,0.7954475309,0.9257716049,0.6637345679,0.5341049383,0.9393518519,0.893287037,0.5337191358,0.6233024691,0.7108873457,0
CA_ACC_DON,2,5,6,Tanimoto,0.6730709877,0.5270833333,0.7954475309,0.9257716049,0.6637345679,0.5341049383,0.9393518519,0.893287037,0.5337191358,0.6233024691,0.7108873457,0
CA_GRE,3.5,5,6,SrelScore08,0.6725308642,0.5502314815,0.7847993827,0.8468364198,0.594058642,0.7197530864,0.7508487654,0.9297067901,0.7330246914,0.5267746914,0.7108564815,0
CA_ACC_DON,2,5,6,SrelScore05,0.6462962963,0.6099537037,0.8013117284,0.9175154321,0.6429012346,0.5219135802,0.9398148148,0.8902777778,0.5084104938,0.594058642,0.7072453704,0
CA_GRE,2.5,5,6,SrelScore08,0.6984567901,0.5800154321,0.8037037037,0.8352623457,0.5299382716,0.7037808642,0.7047839506,0.9307098765,0.7130401235,0.5492283951,0.7048919753,0
CA_GRE,3.5,5,6,Srel,0.6769290123,0.5433641975,0.7726851852,0.8424382716,0.5921296296,0.7219135802,0.712654321,0.9217592593,0.7124228395,0.5233024691,0.7019598765,0
CA_GRE,3.5,5,6,Tanimoto,0.6769290123,0.5433641975,0.7726851852,0.8424382716,0.5921296296,0.7219135802,0.712654321,0.9217592593,0.7124228395,0.5233024691,0.7019598765,0
ACC_DON_GRE,2,5,6,SrelScore05,0.5381944444,0.7691358025,0.7704475309,0.9357253086,0.6230709877,0.4899691358,0.9401234568,0.8864197531,0.6326388889,0.4293209877,0.7015046296,0
CA_GRE,2,5,6,SrelScore08,0.7094135802,0.6527777778,0.7988425926,0.774845679,0.5471450617,0.6571759259,0.7077932099,0.9481481481,0.680941358,0.5356481481,0.7012731481,0
ACC_DON_GRE,1.5,5,6,SrelScore08,0.6266975309,0.712037037,0.7391203704,0.9169753086,0.6163580247,0.5347993827,0.9206790123,0.8929012346,0.6029320988,0.4467592593,0.7009259259,0
CA_GRE,2,5,6,SrelScore05,0.7402777778,0.6299382716,0.7822530864,0.7877314815,0.5298611111,0.6351080247,0.7391975309,0.9388117284,0.7145833333,0.4966049383,0.6994367284,0
ACC_DON_GRE,2,5,6,SrelScore08,0.5293209877,0.7689814815,0.755787037,0.9430555556,0.655941358,0.4707561728,0.937037037,0.8725308642,0.5929783951,0.4358796296,0.6962268519,0
CA_ACC_DON,2.5,5,6,SrelScore05,0.5944444444,0.6083333333,0.7929783951,0.9271604938,0.6222993827,0.4070216049,0.9464506173,0.8898148148,0.5541666667,0.6172839506,0.6959953704,0
CA_GRE,2,5,6,Srel,0.6938271605,0.6561728395,0.8010030864,0.7658179012,0.5548611111,0.6628858025,0.6828703704,0.9402006173,0.6592592593,0.5385802469,0.6955478395,0
CA_GRE,2,5,6,Tanimoto,0.6938271605,0.6561728395,0.8010030864,0.7658179012,0.5548611111,0.6628858025,0.6828703704,0.9402006173,0.6592592593,0.5385802469,0.6955478395,0
CA_GRE,2.5,5,6,Srel,0.6951388889,0.5898148148,0.7900462963,0.8337191358,0.5319444444,0.6997685185,0.656404321,0.9235339506,0.6864197531,0.5480709877,0.6954861111,0
CA_GRE,2.5,5,6,Tanimoto,0.6951388889,0.5898148148,0.7900462963,0.8337191358,0.5319444444,0.6997685185,0.656404321,0.9235339506,0.6864197531,0.5480709877,0.6954861111,0
ACC_DON_GRE,1.5,5,6,Srel,0.6078703704,0.7165895062,0.7522376543,0.9214506173,0.6145833333,0.4961419753,0.9185185185,0.8941358025,0.5744598765,0.4528549383,0.6948842593,0
