Label,1PE,BOG,GSH,LDA,LLP,PLM,PMP,SAM,SUC,U5P
IsoMIF,0.56,0.22,0.84,0.92,0.81,0.92,0.95,0.41,0.71,0.68
IsoMIF,0.63,0.7,0.87,0.85,0.92,0.92,0.99,0.89,0.38,0.83
IsoMIF,0.71,0.6,0.85,0.8,0.67,0.93,0.97,0.86,0.83,0.75
IsoMIF,0.8,0.6,0.93,0.89,0.85,0.95,0.97,0.75,0.85,0.83
IsoMIF,0.76,0.66,0.82,0.95,0.92,0.93,0.97,0.42,0.65,0.88
IsoMIF,0.69,0.62,0.83,0.9,0.9,0.95,0.94,0.88,0.32,0.71
IsoMIF,0.78,0.68,0.84,0.95,0.92,0.92,0.94,0.61,0.84,0.72
IsoMIF,0.74,0.65,0.81,0.88,0.8,0.94,0.97,0.87,0.79,0.7
IsoMIF,0.64,0.76,0.83,0.99,0.87,0.79,0.97,0.92,0.78,0.77
IsoMIF,0.74,0.56,0.99,0.98,0.95,0.96,0.97,0.83,0.76,0.79
IsoMIF_w_l,0.76,0.36,0.55,0.75,0.77,0.45,0.90,0.59,0.77,0.84
IsoMIF_w_l,0.44,0.50,0.54,0.64,0.84,0.94,0.91,0.96,0.71,0.72
IsoMIF_w_l,0.71,0.17,0.56,0.57,0.90,0.98,0.94,0.60,0.47,0.67
IsoMIF_w_l,0.57,0.50,0.56,0.49,0.87,0.53,0.98,0.98,0.49,0.83
IsoMIF_w_l,0.96,0.51,0.82,0.75,0.93,0.94,0.48,0.95,0.84,0.82
IsoMIF_w_l,0.91,0.41,0.51,0.52,0.60,0.80,0.90,0.53,0.76,0.81
IsoMIF_w_l,0.41,0.82,0.54,0.65,0.85,0.94,0.82,0.90,0.45,0.76
IsoMIF_w_l,0.51,0.51,0.97,0.89,0.94,0.95,0.96,0.77,0.68,0.97
IsoMIF_w_l,0.86,0.52,0.91,0.74,0.90,0.82,0.89,0.93,0.70,0.66
IsoMIF_w_l,0.58,0.15,0.41,0.88,0.94,0.72,0.97,0.81,0.57,0.78
