Label,1PE,BOG,GSH,LDA,LLP,PLM,PMP,SAM,SUC,U5P
IsoMIF,0.56,0.22,0.84,0.92,0.81,0.92,0.95,0.41,0.71,0.68
IsoMIF,0.63,0.7,0.87,0.85,0.92,0.92,0.99,0.89,0.38,0.83
IsoMIF,0.71,0.6,0.85,0.8,0.67,0.93,0.97,0.86,0.83,0.75
IsoMIF,0.8,0.6,0.93,0.89,0.85,0.95,0.97,0.75,0.85,0.83
IsoMIF,0.76,0.66,0.82,0.95,0.92,0.93,0.97,0.42,0.65,0.88
IsoMIF,0.69,0.62,0.83,0.9,0.9,0.95,0.94,0.88,0.32,0.71
IsoMIF,0.78,0.68,0.84,0.95,0.92,0.92,0.94,0.61,0.84,0.72
IsoMIF,0.74,0.65,0.81,0.88,0.8,0.94,0.97,0.87,0.79,0.7
IsoMIF,0.64,0.76,0.83,0.99,0.87,0.79,0.97,0.92,0.78,0.77
IsoMIF,0.74,0.56,0.99,0.98,0.95,0.96,0.97,0.83,0.76,0.79
IsoMIF_wo_l,0.86,0.37,0.81,0.73,0.77,0.85,0.90,0.60,0.75,0.84
IsoMIF_wo_l,0.44,0.52,0.74,0.61,0.97,0.95,0.90,0.95,0.68,0.72
IsoMIF_wo_l,0.66,0.17,0.56,0.80,0.89,0.98,0.94,0.59,0.47,0.81
IsoMIF_wo_l,0.57,0.50,0.59,0.91,0.85,0.72,0.97,0.96,0.38,0.83
IsoMIF_wo_l,0.68,0.54,0.89,0.74,0.82,0.94,0.51,0.93,0.54,0.80
IsoMIF_wo_l,0.51,0.44,0.57,0.53,0.89,0.58,0.89,0.61,0.78,0.92
IsoMIF_wo_l,0.43,0.84,0.65,0.95,0.84,0.94,0.49,0.91,0.53,0.67
IsoMIF_wo_l,0.50,0.48,0.77,0.55,0.94,0.94,0.96,0.77,0.67,0.78
IsoMIF_wo_l,0.87,0.53,0.71,0.73,0.90,0.63,0.54,0.94,0.69,0.48
IsoMIF_wo_l,0.58,0.15,0.44,0.96,0.94,0.87,0.97,0.83,0.56,0.97
