Label,1PE,BOG,GSH,LDA,LLP,PLM,PMP,SAM,SUC,U5P
IsoMIF_p,0.56,0.22,0.84,0.92,0.81,0.92,0.95,0.41,0.71,0.68
IsoMIF_p,0.63,0.7,0.87,0.85,0.92,0.92,0.99,0.89,0.38,0.83
IsoMIF_p,0.71,0.6,0.85,0.8,0.67,0.93,0.97,0.86,0.83,0.75
IsoMIF_p,0.8,0.6,0.93,0.89,0.85,0.95,0.97,0.75,0.85,0.83
IsoMIF_p,0.76,0.66,0.82,0.95,0.92,0.93,0.97,0.42,0.65,0.88
IsoMIF_p,0.69,0.62,0.83,0.9,0.9,0.95,0.94,0.88,0.32,0.71
IsoMIF_p,0.78,0.68,0.84,0.95,0.92,0.92,0.94,0.61,0.84,0.72
IsoMIF_p,0.74,0.65,0.81,0.88,0.8,0.94,0.97,0.87,0.79,0.7
IsoMIF_p,0.64,0.76,0.83,0.99,0.87,0.79,0.97,0.92,0.78,0.77
IsoMIF_p,0.74,0.56,0.99,0.98,0.95,0.96,0.97,0.83,0.76,0.79
IsoMIF_l,0.61,0.17,0.47,0.93,0.93,0.76,0.85,0.61,0.62,0.95
IsoMIF_l,0.79,0.48,0.76,0.69,0.86,0.67,0.53,0.78,0.75,0.56
IsoMIF_l,0.54,0.49,0.69,0.46,0.87,0.89,0.95,0.64,0.70,0.80
IsoMIF_l,0.48,0.87,0.47,0.94,0.79,0.91,0.47,0.75,0.51,0.75
IsoMIF_l,0.40,0.47,0.49,0.52,0.90,0.57,0.86,0.67,0.67,0.88
IsoMIF_l,0.64,0.54,0.88,0.63,0.80,0.86,0.49,0.89,0.43,0.75
IsoMIF_l,0.57,0.50,0.48,0.87,0.77,0.70,0.86,0.76,0.55,0.82
IsoMIF_l,0.63,0.20,0.47,0.71,0.82,0.96,0.87,0.68,0.50,0.83
IsoMIF_l,0.54,0.50,0.81,0.61,0.91,0.90,0.89,0.81,0.70,0.80
IsoMIF_l,0.88,0.41,0.77,0.76,0.72,0.82,0.90,0.50,0.78,0.82
