Label,AMP,AND,ATP,BGC,EST,FAD,FMN,GLC,HEM,NAD,PO4
IsoMIF_p,0.91,0.96,0.81,0.93,1,0.91,0.94,1,0.96,0.91,0.51
IsoMIF_p,0.93,0.99,0.82,1,0.99,0.96,0.81,1,1,0.76,0.53
IsoMIF_p,0.8,,0.76,1,1,0.92,0.8,,1,0.59,0.52
IsoMIF_p,0.89,,0.85,,,0.91,0.91,,0.97,0.89,0.51
IsoMIF_p,0.9,,0.8,,,0.85,0.83,,1,0.8,0.49
IsoMIF_p,0.89,,0.85,,,0.89,0.78,,1,0.86,0.51
IsoMIF_p,0.92,,0.75,,,0.66,,,0.99,0.81,0.49
IsoMIF_p,0.9,,0.77,,,0.77,,,0.98,0.73,0.49
IsoMIF_p,0.91,,0.72,,,0.9,,,1,0.89,0.53
IsoMIF_p,,,0.77,,,0.95,,,0.92,0.79,0.5
IsoMIF_p,,,0.9,,,,,,1,0.78,0.5
IsoMIF_p,,,0.92,,,,,,0.99,0.83,0.53
IsoMIF_p,,,0.85,,,,,,0.99,0.57,0.51
IsoMIF_p,,,0.82,,,,,,1,0.75,0.53
IsoMIF_p,,,,,,,,,1,0.9,0.53
IsoMIF_p,,,,,,,,,0.99,,0.53
IsoMIF_p,,,,,,,,,,,0.53
IsoMIF_p,,,,,,,,,,,0.53
IsoMIF_p,,,,,,,,,,,0.5
IsoMIF_p,,,,,,,,,,,0.51
IsoMIF_l,0.880,0.865,0.628,0.874,0.898,0.851,0.647,0.995,0.972,0.755,0.857
IsoMIF_l,0.880,0.500,0.705,0.979,1.000,0.869,0.532,0.949,0.990,0.500,0.888
IsoMIF_l,0.020,,0.624,0.814,1.000,0.872,0.613,,0.987,0.563,0.886
IsoMIF_l,0.883,,0.757,,,0.775,0.600,,0.973,0.719,0.889
IsoMIF_l,0.897,,0.545,,,0.888,0.623,,0.992,0.704,0.881
IsoMIF_l,0.755,,0.707,,,0.870,0.617,,0.979,0.684,0.847
IsoMIF_l,0.892,,0.712,,,0.565,,,0.960,0.629,0.500
IsoMIF_l,0.919,,0.672,,,0.685,,,0.965,0.597,0.500
IsoMIF_l,0.790,,0.623,,,0.831,,,0.988,0.649,0.886
IsoMIF_l,,,0.657,,,0.904,,,0.980,0.180,0.886
IsoMIF_l,,,0.604,,,,,,0.987,0.597,0.888
IsoMIF_l,,,0.517,,,,,,0.985,0.665,0.882
IsoMIF_l,,,0.500,,,,,,0.984,0.550,0.874
IsoMIF_l,,,0.695,,,,,,0.991,0.595,0.874
IsoMIF_l,,,,,,,,,0.993,0.690,0.875
IsoMIF_l,,,,,,,,,0.995,,0.883
IsoMIF_l,,,,,,,,,,,0.878
IsoMIF_l,,,,,,,,,,,0.885
IsoMIF_l,,,,,,,,,,,0.877
IsoMIF_l,,,,,,,,,,,0.867
