13gs	P09211
1a28	P06401
1a52	P03372
1aq1	P24941
1au0	P43235
1ayu	P43235
1ayv	P43235
1azm	P00915
1b0f	P08246
1b38	P24941
1b39	P24941
1b56	Q01469
1bcd	P00918
1bl4	P62942
1bl6	Q16539
1bl7	Q16539
1bm7	P02766
1bmk	Q16539
1bmm	P00734
1bmn	P00734
1bnn	P00918
1bqo	P08254
1c1u	P00734
1c5o	P00734
1c5z	P00749
1caq	P08254
1cil	P00918
1cim	P00918
1cin	P00918
1ciz	P08254
1cnw	P00918
1cny	P00918
1ctr	P62158
1d2s	P04278
1d3d	P00734
1d5j	P08254
1d8m	P08254
1db1	P11473
1di8	P24941
1di9	Q16539
1dmt	P08473
1dwd	P00734
1e1x	P24941
1e3g	P10275
1em6	P06737
1eou	P00918
1err	P03372
1exv	P06737
1ezq	P00742
1f0r	P00742
1f40	P62942
1f5k	P00749
1f92	P00749
1fcx	P13631
1fcy	P13631
1fgi	P11362
1fjs	P00742
1fkb	P62942
1fkf	P62942
1fkg	P62942
1fls	P45452
1fm9	P19793
1fta	P09467
1g05	P08254
1g49	P08254
1g4k	P08254
1g4o	P00918
1g50	P03372
1g7g	P18031
1gcz	P14174
1gfw	P42574
1ghw	P00734
1gi8	P00749
1gj5	P00734
1gj8	P00749
1gja	P00749
1gjb	P00749
1gjc	P00749
1gjd	P00749
1gsf	P08263
1h1q	P24941
1h1s	P24941
1h4w	P35030
1hfs	P08254
1hi5	P10153
1hms	P05413
1hmt	P05413
1hnn	P11086
1hs6	P09960
1hvy	P04818
1i00	P04818
1i5r	P14061
1i72	P17707
1i7c	P17707
1i7g	Q07869
1i7i	P37231
1i8z	P00918
1i91	P00918
1i9o	P00918
1ie9	P11473
1ilh	O75469
1jd0	O43570
1jj9	P22894
1jk7	P36873
1juj	P04818
1jvp	P24941
1k22	P00734
1kav	P18031
1kdk	P04278
1ke5	P24941
1ke6	P24941
1ke7	P24941
1ke8	P24941
1ke9	P24941
1kkq	Q07869
1ktt	P00734
1kv1	Q16539
1kv2	Q16539
1kvo	P14555
1l5q	P06737
1l5s	P06737
1l7x	P06737
1l8g	P18031
1ld8	P49354
1lhc	P00734
1lhd	P00734
1lhu	P04278
1lhw	P04278
1lpz	P00742
1lqd	P00742
1m7q	Q16539
1mkd	Q08499
1mmp	P09237
1mmq	P09237
1mnc	P22894
1mq5	P00742
1mq6	P00742
1ms6	P25774
1mu6	P00734
1mue	P00734
1mzc	P49354
1n1m	P27487
1n46	P10828
1n7i	P11086
1n7j	P11086
1nax	P10828
1nde	Q92731
1nfu	P00742
1nfx	P00742
1nfy	P00742
1nhx	P35558
1nhz	P04150
1nl6	P43235
1nl9	P18031
1nlj	P43235
1nm6	P00734
1nny	P18031
1nq0	P10828
1nt1	P00734
1nvq	O14757
1nvr	O14757
1nvs	O14757
1nyx	P37231
1o2g	P00734
1o3p	P00749
1o42	P12931
1o43	P12931
1o44	P12931
1o45	P12931
1o46	P12931
1o47	P12931
1o48	P12931
1o49	P12931
1o4a	P12931
1o4b	P12931
1o5a	P00749
1o5c	P00749
1o5f	P05981
1o5g	P00734
1ogu	P24941
1oi9	P24941
1oiq	P24941
1oit	P24941
1okz	O15530
1ony	P18031
1oq5	P00918
1oth	P00480
1ouk	Q16539
1ove	Q16539
1owe	P00749
1owh	P00749
1owi	P00749
1owj	P00749
1oyn	Q08499
1p2a	P24941
1p57	P05981
1p5e	P24941
1p93	P04150
1pf7	P00491
1pf8	P24941
1ph0	P18031
1pmn	P53779
1pmu	P53779
1pq6	P55055
1pqc	P55055
1pw6	P60568
1pxj	P24941
1pxl	P24941
1pxm	P24941
1pxn	P24941
1pxo	P24941
1pxp	P24941
1py2	P60568
1py5	P36897
1pye	P24941
1pyn	P18031
1q3w	P49841
1q4l	P49841
1q6j	P18031
1q6k	P43235
1q6m	P18031
1q9m	Q08499
1qbv	P00734
1qkt	P03372
1qku	P03372
1qxk	P18031
1r0p	P08581
1r58	P50579
1r5h	P50579
1rbp	P02753
1re1	P42574
1rhm	P42574
1rhr	P42574
1riw	P00734
1rm8	P51512
1rmz	P39900
1rne	P00797
1ro6	Q07343
1rr6	P00491
1rt9	P00491
1rtf	P00750
1rv1	Q00987
1rw8	P36897
1rwq	P27487
1rww	P29466
1s19	P11473
1s63	P49354
1sc8	P00749
1sj0	P03372
1sl3	P00734
1soj	Q13370
1sqa	P00749
1sqn	P06401
1sqo	P00749
1sqt	P00749
1sr7	P06401
1t46	P10721
1t4e	Q00987
1t4j	P18031
1t4v	P00734
1t69	Q9BY41
1ta2	P00734
1ta6	P00734
1tfq	P98170
1tft	P98170
1tom	P00734
1tou	P15090
1tow	P15090
1tqf	P56817
1ttm	P00918
1tu6	P43235
1tvo	P28482
1tyr	P02766
1u32	P36873
1u3q	Q92731
1u3r	Q92731
1u3s	Q92731
1u71	P00374
1u9e	Q92731
1u9v	P43235
1u9w	P43235
1u9x	P43235
1udt	O76074
1udu	O76074
1uho	O76074
1uk0	P09874
1uk1	P09874
1ung	Q00535
1unl	Q00535
1usn	P08254
1utz	P39900
1uu3	O15530
1uu8	O15530
1uv5	P49841
1uvr	O15530
1uwh	P15056
1uyf	P07900
1uyi	P07900
1v2h	P00491
1vja	P00749
1vyw	P24941
1vyz	P24941
1w0x	P24941
1w0y	P08709
1w11	P00749
1w13	P00749
1w51	P56817
1w6j	P48449
1w7g	P00734
1w7x	P08709
1wbn	Q16539
1wbt	Q16539
1wdy	Q05823
1wug	Q92831
1wum	Q92831
1wzy	P28482
1x70	P27487
1x76	Q92731
1x78	Q92731
1x7b	Q92731
1x7e	P03372
1x7r	P03372
1x8b	P30291
