Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),Code,Class,AUC,Percent
CA_GRE,2.5,5,6,SrelScore08,1J99,AND,1,0.0407070707
CA_GRE,2.5,5,6,SrelScore08,1E3R,AND,0.9897959184,0.0407070707
CA_GRE,2.5,5,6,SrelScore05,1NF5,BGC,0.9587628866,0.0407070707
CA_GRE,2.5,5,6,SrelScore05,1CQ1,BGC,0.8762886598,0.0407070707
CA_GRE,2.5,5,6,SrelScore05,2GBP,BGC,0.9742268041,0.0407070707
ACC_DON,3.5,5,6,SrelScore05,1HEX,NAD,0.7172268908,0
ACC_DON,3.5,5,6,SrelScore05,2A5F,NAD,0.7197478992,0
ACC_DON,3.5,5,6,SrelScore05,1OG3,NAD,0.7050420168,0
ACC_DON,3.5,5,6,SrelScore05,1S7G,NAD,0.7352941176,0
ACC_DON,3.5,5,6,SrelScore05,1QAX,NAD,0.674789916,0
ACC_DON,3.5,5,6,SrelScore05,1T2D,NAD,0.6869747899,0
ACC_DON,3.5,5,6,SrelScore05,1MI3,NAD,0.6743697479,0
ACC_DON,3.5,5,6,SrelScore05,1IB0,NAD,0.5025210084,0
ACC_DON,3.5,5,6,SrelScore05,1TOX,NAD,0.7483193277,0
ACC_DON,3.5,5,6,SrelScore05,1RLZ,NAD,0.7924369748,0
ACC_DON,3.5,5,6,SrelScore05,2NPX,NAD,0.6634453782,0
ACC_DON,3.5,5,6,SrelScore05,1MEW,NAD,0.5764705882,0
ACC_DON,3.5,5,6,SrelScore05,1EJ2,NAD,0.774789916,0
ACC_DON,3.5,5,6,SrelScore05,1O04,NAD,0.712605042,0
ACC_DON,3.5,5,6,SrelScore05,1JQ5,NAD,0.5806722689,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1LBY,PO4,0.9980263158,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1EUC,PO4,0.9868421053,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1DAK,PO4,0.9644736842,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1FBT,PO4,0.9871710526,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1D1Q,PO4,0.9756578947,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1B8O,PO4,0.8891447368,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1HO5,PO4,0.9950657895,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1TCO,PO4,0.9743421053,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1CQJ,PO4,0.9980263158,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1L7M,PO4,0.9815789474,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1QF5,PO4,0.9953947368,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1BRW,PO4,0.9769736842,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1L5W,PO4,0.9940789474,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1E9G,PO4,0.9927631579,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1A6Q,PO4,0.9993421053,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1EW2,PO4,0.9552631579,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1EJD,PO4,0.9963815789,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1GYP,PO4,0.95625,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1H6L,PO4,0.99375,0
ACC_DON_GRE,3.5,5,6,SrelScore05,1LYV,PO4,0.9559210526,0
ACC_DON_GRE,3.5,5,6,Srel,1K1W,GLC,0.9795918367,0
ACC_DON_GRE,3.5,5,6,Srel,1BDG,GLC,0.9795918367,0
ACC_DON,2,5,6,SrelScore05,1DNL,FMN,0.7382978723,0
ACC_DON,2,5,6,SrelScore05,1JA1,FMN,0.7723404255,0
ACC_DON,2,5,6,SrelScore05,1F5V,FMN,0.6829787234,0
ACC_DON,2,5,6,SrelScore05,1P4C,FMN,0.7680851064,0
ACC_DON,2,5,6,SrelScore05,1MVL,FMN,0.679787234,0
ACC_DON,2,5,6,SrelScore05,1P4M,FMN,0.7553191489,0
CA_ACC_DON_GRE,3.5,5,6,SrelScore08,1LHU,EST,0.9793814433,0
CA_ACC_DON_GRE,3.5,5,6,SrelScore08,1FDS,EST,1,0
CA_ACC_DON_GRE,3.5,5,6,SrelScore08,1QKT,EST,0.9948453608,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1E2Q,ATP,0.7665474061,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1RDQ,ATP,0.6578711986,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1DY3,ATP,0.7625223614,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1B8A,ATP,0.8139534884,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1AYL,ATP,0.801431127,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1ESQ,ATP,0.7790697674,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1GN8,ATP,0.7701252236,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1DV2,ATP,0.8327370304,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1E8X,ATP,0.7880143113,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1TID,ATP,0.7978533095,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1KVK,ATP,0.7965116279,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1O9T,ATP,0.8179785331,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1A49,ATP,0.8050089445,0
ACC_DON_GRE,3.5,5,6,SrelScore08,1A0I,ATP,0.7674418605,0
ACC_DON_GRE,3.5,5,6,Srel,1AMU,AMP,0.7678571429,0
ACC_DON_GRE,3.5,5,6,Srel,1JP4,AMP,0.771978022,0
ACC_DON_GRE,3.5,5,6,Srel,1C0A,AMP,0.7266483516,0
ACC_DON_GRE,3.5,5,6,Srel,1CT9,AMP,0.7657967033,0
ACC_DON_GRE,3.5,5,6,Srel,1KHT,AMP,0.7946428571,0
ACC_DON_GRE,3.5,5,6,Srel,12AS,AMP,0.6826923077,0
ACC_DON_GRE,3.5,5,6,Srel,8GPB,AMP,0.771978022,0
ACC_DON_GRE,3.5,5,6,Srel,1TB7,AMP,0.739010989,0
ACC_DON_GRE,3.5,5,6,Srel,1QB8,AMP,0.7335164835,0
ACC_DON_GRE,3,5,6,Srel,1GWE,HEM,0.9492063492,0
ACC_DON_GRE,3,5,6,Srel,1PO5,HEM,0.9253968254,0
ACC_DON_GRE,3,5,6,Srel,1NP4,HEM,0.9119047619,0
ACC_DON_GRE,3,5,6,Srel,2CPO,HEM,0.9325396825,0
ACC_DON_GRE,3,5,6,Srel,1QPA,HEM,0.9420634921,0
ACC_DON_GRE,3,5,6,Srel,1EW0,HEM,0.9626984127,0
ACC_DON_GRE,3,5,6,Srel,1QLA,HEM,0.9678571429,0
ACC_DON_GRE,3,5,6,Srel,1D7C,HEM,0.8777777778,0
ACC_DON_GRE,3,5,6,Srel,1SOX,HEM,0.9392857143,0
ACC_DON_GRE,3,5,6,Srel,1PP9,HEM,0.9682539683,0
ACC_DON_GRE,3,5,6,Srel,1D0C,HEM,0.876984127,0
ACC_DON_GRE,3,5,6,Srel,1EQG,HEM,0.9658730159,0
ACC_DON_GRE,3,5,6,Srel,1QHU,HEM,0.7841269841,0
ACC_DON_GRE,3,5,6,Srel,1NAZ,HEM,0.8944444444,0
ACC_DON_GRE,3,5,6,Srel,1IQC,HEM,0.9452380952,0
ACC_DON_GRE,3,5,6,Srel,1DK0,HEM,0.8753968254,0
ACC_DON_GRE,3.5,5,6,Srel,1JQI,FAD,0.9098765432,0
ACC_DON_GRE,3.5,5,6,Srel,1H69,FAD,0.8851851852,0
ACC_DON_GRE,3.5,5,6,Srel,1HSK,FAD,0.9382716049,0
ACC_DON_GRE,3.5,5,6,Srel,1E8G,FAD,0.9296296296,0
ACC_DON_GRE,3.5,5,6,Srel,1POX,FAD,0.8617283951,0
ACC_DON_GRE,3.5,5,6,Srel,3GRS,FAD,0.9012345679,0
ACC_DON_GRE,3.5,5,6,Srel,1EVI,FAD,0.9320987654,0
ACC_DON_GRE,3.5,5,6,Srel,1K87,FAD,0.8679012346,0
ACC_DON_GRE,3.5,5,6,Srel,1JR8,FAD,0.7080246914,0
ACC_DON_GRE,3.5,5,6,Srel,1CQX,FAD,0.7543209877,0
