atomtype,cuttoff,cliques,distance,metric,code,class,auc
CA,1.5,5,6,RMSD,1J99,AND,0.0801282051282
CA,1.5,5,6,SO,1J99,AND,0.0801282051282
CA,1.5,5,6,Srel,1J99,AND,0.0801282051282
CA,1.5,5,6,Tanimoto,1J99,AND,0.0801282051282
CA,1.5,5,6,GO,1J99,AND,0.349358974359
CA,1.5,5,6,aaScore08,1J99,AND,0.0801282051282
CA,1.5,5,6,aaScore05,1J99,AND,0.0801282051282
CA,1.5,5,6,SrelScore08,1J99,AND,0.0801282051282
CA,1.5,5,6,SrelScore05,1J99,AND,0.0801282051282
CA,1.5,5,6,SOScore08,1J99,AND,0.0801282051282
CA,1.5,5,6,SOScore05,1J99,AND,0.0801282051282
CA,1.5,5,6,RMSD,1E3R,AND,0.394230769231
CA,1.5,5,6,SO,1E3R,AND,0.394230769231
CA,1.5,5,6,Srel,1E3R,AND,0.394230769231
CA,1.5,5,6,Tanimoto,1E3R,AND,0.394230769231
CA,1.5,5,6,GO,1E3R,AND,0.445512820513
CA,1.5,5,6,aaScore08,1E3R,AND,0.394230769231
CA,1.5,5,6,aaScore05,1E3R,AND,0.394230769231
CA,1.5,5,6,SrelScore08,1E3R,AND,0.394230769231
CA,1.5,5,6,SrelScore05,1E3R,AND,0.394230769231
CA,1.5,5,6,SOScore08,1E3R,AND,0.394230769231
CA,1.5,5,6,SOScore05,1E3R,AND,0.394230769231
CA,1.5,5,6,RMSD,1NF5,BGC,0.133116883117
CA,1.5,5,6,SO,1NF5,BGC,0.133116883117
CA,1.5,5,6,Srel,1NF5,BGC,0.133116883117
CA,1.5,5,6,Tanimoto,1NF5,BGC,0.133116883117
CA,1.5,5,6,GO,1NF5,BGC,0.295454545455
CA,1.5,5,6,aaScore08,1NF5,BGC,0.133116883117
CA,1.5,5,6,aaScore05,1NF5,BGC,0.133116883117
CA,1.5,5,6,SrelScore08,1NF5,BGC,0.133116883117
CA,1.5,5,6,SrelScore05,1NF5,BGC,0.133116883117
CA,1.5,5,6,SOScore08,1NF5,BGC,0.133116883117
CA,1.5,5,6,SOScore05,1NF5,BGC,0.133116883117
CA,1.5,5,6,RMSD,1CQ1,BGC,0.5
CA,1.5,5,6,SO,1CQ1,BGC,0.5
CA,1.5,5,6,Srel,1CQ1,BGC,0.5
CA,1.5,5,6,Tanimoto,1CQ1,BGC,0.5
CA,1.5,5,6,GO,1CQ1,BGC,0.5
CA,1.5,5,6,aaScore08,1CQ1,BGC,0.5
CA,1.5,5,6,aaScore05,1CQ1,BGC,0.5
CA,1.5,5,6,SrelScore08,1CQ1,BGC,0.5
CA,1.5,5,6,SrelScore05,1CQ1,BGC,0.5
CA,1.5,5,6,SOScore08,1CQ1,BGC,0.5
CA,1.5,5,6,SOScore05,1CQ1,BGC,0.5
CA,1.5,5,6,RMSD,2GBP,BGC,0.461038961039
CA,1.5,5,6,SO,2GBP,BGC,0.461038961039
CA,1.5,5,6,Srel,2GBP,BGC,0.461038961039
CA,1.5,5,6,Tanimoto,2GBP,BGC,0.461038961039
CA,1.5,5,6,GO,2GBP,BGC,0.480519480519
CA,1.5,5,6,aaScore08,2GBP,BGC,0.461038961039
CA,1.5,5,6,aaScore05,2GBP,BGC,0.461038961039
CA,1.5,5,6,SrelScore08,2GBP,BGC,0.461038961039
CA,1.5,5,6,SrelScore05,2GBP,BGC,0.461038961039
CA,1.5,5,6,SOScore08,2GBP,BGC,0.461038961039
CA,1.5,5,6,SOScore05,2GBP,BGC,0.461038961039
CA,1.5,5,6,RMSD,1HEX,NAD,0.580631868132
CA,1.5,5,6,SO,1HEX,NAD,0.450274725275
CA,1.5,5,6,Srel,1HEX,NAD,0.481868131868
CA,1.5,5,6,Tanimoto,1HEX,NAD,0.481868131868
CA,1.5,5,6,GO,1HEX,NAD,0.665384615385
CA,1.5,5,6,aaScore08,1HEX,NAD,0.581868131868
CA,1.5,5,6,aaScore05,1HEX,NAD,0.581868131868
CA,1.5,5,6,SrelScore08,1HEX,NAD,0.513461538462
