code,class,PS_score,,,
12AS,AMP,0.2411971831,,AMP,
1AMU,AMP,0.6126760563,,Quartil 1,0.4755208333
1C0A,AMP,0.698943662,,Mediana,0.5603174603
1CT9,AMP,0.521875,,Quartil 3,0.6546546547
1JP4,AMP,0.5603174603,,Promedio,0.5467893761
1KHT,AMP,0.4291666667,,,
1QB8,AMP,0.5476190476,,AND,
1TB7,AMP,0.6944444444,,Quartil 1,Err:504
8GPB,AMP,0.6148648649,,Mediana,0.6924934441
1E3R,AND,0.6635416667,,Quartil 3,Err:504
1J99,AND,0.7214452214,,Promedio,0.6924934441
1A0I,ATP,0.5897887324,,,
1A49,ATP,0.5838541667,,,
1AYL,ATP,0.2727272727,,,
1B8A,ATP,0.7179487179,,,
1DV2,ATP,0.4114219114,,,
1DY3,ATP,0.858974359,,ATP,
1E2Q,ATP,0.573015873,,Quartil 1,0.4958242279
1E8X,ATP,0.553125,,Mediana,0.5650627151
1ESQ,ATP,0.5571095571,,Quartil 3,0.6322843823
1GN8,ATP,0.5351351351,,Promedio,0.5677372236
1KVK,ATP,0.5239583333,,,
1O9T,ATP,0.6037296037,,,
1RDQ,ATP,0.3961038961,,BGC,
1TID,ATP,0.7714285714,,Quartil 1,0.4353146853
1CQ1,BGC,0.4353146853,,Mediana,0.7
1NF5,BGC,0.7331002331,,Quartil 3,0.7331002331
2GBP,BGC,0.7,,Promedio,0.6228049728
1FDS,EST,0.6566901408,,EST,
1LHU,EST,0.3926056338,,Quartil 1,0.3926056338
1QKT,EST,0.7197916667,,Mediana,0.6566901408
1CQX,FAD,0.6158730159,,Quartil 3,0.7197916667
1E8G,FAD,0.8252747253,,Promedio,0.5896958138
1EVI,FAD,0.767032967,,,
1H69,FAD,0.6189189189,,,
1HSK,FAD,0.7773892774,,,
1JQI,FAD,0.7223958333,,FAD,
1JR8,FAD,0.6948051948,,Quartil 1,0.617979243
1K87,FAD,0.7762237762,,Mediana,0.7086005141
1POX,FAD,0.6186813187,,Quartil 3,0.7765151515
3GRS,FAD,0.5334507042,,Promedio,0.6950045732
1DNL,FMN,0.5256410256,,,
1F5V,FMN,0.5879120879,,FMN,
1JA1,FMN,0.610989011,,Quartil 1,0.5043659044
1MVL,FMN,0.6307692308,,Mediana,0.5994505495
1P4C,FMN,0.746875,,Quartil 3,0.6597956731
1P4M,FMN,0.4405405405,,Promedio,0.5904544826
1BDG,GLC,0.8076923077,,GLC,
1K1W,GLC,0.7179487179,,Quartil 1,Err:504
1D0C,HEM,0.5362637363,,Mediana,0.7628205128
1D7C,HEM,0.7322916667,,Quartil 3,Err:504
1DK0,HEM,0.6555944056,,Promedio,0.7628205128
1EQG,HEM,0.484375,,,
1EW0,HEM,0.5880208333,,,
1GWE,HEM,0.858974359,,,
1IQC,HEM,0.6395833333,,,
1NAZ,HEM,0.4958333333,,,
1NP4,HEM,0.5238095238,,,
1PO5,HEM,0.7406593407,,,
1PP9,HEM,0.1428571429,,,
1QHU,HEM,0.6698412698,,HEM,
1QLA,HEM,0.472972973,,Quartil 1,0.4872395833
1QPA,HEM,0.6098901099,,Mediana,0.5989554716
1SOX,HEM,0.6707746479,,Quartil 3,0.6705413034
2CPO,HEM,0.3835164835,,Promedio,0.5753286349
1EJ2,NAD,0.7461538462,,,
1HEX,NAD,0.7402597403,,,
1IB0,NAD,0.5454545455,,,
1JQ5,NAD,0.7901098901,,,
1MEW,NAD,0.8587301587,,,
1MI3,NAD,0.8181818182,,,
1O04,NAD,0.6433566434,,,
1OG3,NAD,0.6317016317,,,
1QAX,NAD,0.6083333333,,,
1RLZ,NAD,0.634032634,,,
1S7G,NAD,0.4081081081,,NAD,
1T2D,NAD,0.3802816901,,Quartil 1,0.5275934453
1TOX,NAD,0.6635416667,,Mediana,0.6635416667
2A5F,NAD,0.7792207792,,Quartil 3,0.780952381
2NPX,NAD,0.780952381,,Promedio,0.6685612578
