Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),Code,Class,AUC,Percent
CA_GRE,1.5,5,6,RMSD,1J99,AND,0.0204081633,0.0407070707
CA_GRE,1.5,5,6,SO,1J99,AND,0.7448979592,0.0407070707
CA_GRE,1.5,5,6,Srel,1J99,AND,0.9897959184,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,1J99,AND,0.9897959184,0.0407070707
CA_GRE,1.5,5,6,GO,1J99,AND,0.9285714286,0.0407070707
CA_GRE,1.5,5,6,aaScore08,1J99,AND,0.9795918367,0.0407070707
CA_GRE,1.5,5,6,aaScore05,1J99,AND,0.9081632653,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,1J99,AND,0.9897959184,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,1J99,AND,0.9897959184,0.0407070707
CA_GRE,1.5,5,6,SOScore08,1J99,AND,0.7551020408,0.0407070707
CA_GRE,1.5,5,6,SOScore05,1J99,AND,0.8163265306,0.0407070707
CA_GRE,1.5,5,6,RMSD,1E3R,AND,0.1989795918,0.0407070707
CA_GRE,1.5,5,6,SO,1E3R,AND,0.7040816327,0.0407070707
CA_GRE,1.5,5,6,Srel,1E3R,AND,0.9489795918,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,1E3R,AND,0.9489795918,0.0407070707
CA_GRE,1.5,5,6,GO,1E3R,AND,0.7244897959,0.0407070707
CA_GRE,1.5,5,6,aaScore08,1E3R,AND,0.7755102041,0.0407070707
CA_GRE,1.5,5,6,aaScore05,1E3R,AND,0.7346938776,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,1E3R,AND,0.9489795918,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,1E3R,AND,0.9489795918,0.0407070707
CA_GRE,1.5,5,6,SOScore08,1E3R,AND,0.7346938776,0.0407070707
CA_GRE,1.5,5,6,SOScore05,1E3R,AND,0.7653061224,0.0407070707
CA_GRE,1.5,5,6,RMSD,1NF5,BGC,0.3530927835,0.0407070707
CA_GRE,1.5,5,6,SO,1NF5,BGC,0.6804123711,0.0407070707
CA_GRE,1.5,5,6,Srel,1NF5,BGC,0.9226804124,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,1NF5,BGC,0.9226804124,0.0407070707
CA_GRE,1.5,5,6,GO,1NF5,BGC,0.8608247423,0.0407070707
CA_GRE,1.5,5,6,aaScore08,1NF5,BGC,0.6494845361,0.0407070707
CA_GRE,1.5,5,6,aaScore05,1NF5,BGC,0.5463917526,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,1NF5,BGC,0.9278350515,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,1NF5,BGC,0.9432989691,0.0407070707
CA_GRE,1.5,5,6,SOScore08,1NF5,BGC,0.6804123711,0.0407070707
CA_GRE,1.5,5,6,SOScore05,1NF5,BGC,0.7525773196,0.0407070707
CA_GRE,1.5,5,6,RMSD,1CQ1,BGC,0.3427835052,0.0407070707
CA_GRE,1.5,5,6,SO,1CQ1,BGC,0.7963917526,0.0407070707
CA_GRE,1.5,5,6,Srel,1CQ1,BGC,0.9639175258,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,1CQ1,BGC,0.9639175258,0.0407070707
CA_GRE,1.5,5,6,GO,1CQ1,BGC,0.3298969072,0.0407070707
CA_GRE,1.5,5,6,aaScore08,1CQ1,BGC,0.7164948454,0.0407070707
CA_GRE,1.5,5,6,aaScore05,1CQ1,BGC,0.7164948454,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,1CQ1,BGC,0.9587628866,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,1CQ1,BGC,0.9432989691,0.0407070707
CA_GRE,1.5,5,6,SOScore08,1CQ1,BGC,0.7731958763,0.0407070707
CA_GRE,1.5,5,6,SOScore05,1CQ1,BGC,0.7396907216,0.0407070707
CA_GRE,1.5,5,6,RMSD,2GBP,BGC,0.2757731959,0.0407070707
CA_GRE,1.5,5,6,SO,2GBP,BGC,0.662371134,0.0407070707
CA_GRE,1.5,5,6,Srel,2GBP,BGC,0.9587628866,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,2GBP,BGC,0.9587628866,0.0407070707
CA_GRE,1.5,5,6,GO,2GBP,BGC,0.4020618557,0.0407070707
CA_GRE,1.5,5,6,aaScore08,2GBP,BGC,0.7603092784,0.0407070707
CA_GRE,1.5,5,6,aaScore05,2GBP,BGC,0.7963917526,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,2GBP,BGC,0.9536082474,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,2GBP,BGC,0.9226804124,0.0407070707
CA_GRE,1.5,5,6,SOScore08,2GBP,BGC,0.6546391753,0.0407070707
CA_GRE,1.5,5,6,SOScore05,2GBP,BGC,0.6649484536,0.0407070707
CA_GRE,1.5,5,6,RMSD,1HEX,NAD,0.4470588235,0.0407070707
CA_GRE,1.5,5,6,SO,1HEX,NAD,0.2819327731,0.0407070707
CA_GRE,1.5,5,6,Srel,1HEX,NAD,0.2920168067,0.0407070707
CA_GRE,1.5,5,6,Tanimoto,1HEX,NAD,0.2920168067,0.0407070707
CA_GRE,1.5,5,6,GO,1HEX,NAD,0.4798319328,0.0407070707
CA_GRE,1.5,5,6,aaScore08,1HEX,NAD,0.5848739496,0.0407070707
CA_GRE,1.5,5,6,aaScore05,1HEX,NAD,0.5907563025,0.0407070707
CA_GRE,1.5,5,6,SrelScore08,1HEX,NAD,0.2945378151,0.0407070707
CA_GRE,1.5,5,6,SrelScore05,1HEX,NAD,0.3302521008,0.0407070707
CA_GRE,1.5,5,6,SOScore08,1HEX,NAD,0.2642857143,0.0407070707
CA_GRE,1.5,5,6,SOScore05,1HEX,NAD,0.281092437,0.0407070707
CA_GRE,1.5,5,6,RMSD,2A5F,NAD,0.5457983193,0.0407070707
CA_GRE,1.5,5,6,SO,2A5F,NAD,0.3617647059,0.0407070707
