Atomtypes ,Cuttoff,Ncliques,Distance,Median(Score),Code,Class ,AUC
CA,1.5,5,6,RMSD,1J99,AND,0.6492346939
CA,1.5,5,6,SO,1J99,AND,0.2193877551
CA,1.5,5,6,Srel,1J99,AND,0.4221938776
CA,1.5,5,6,Tanimoto,1J99,AND,0.4221938776
CA,1.5,5,6,GO,1J99,AND,0.9272959184
CA,1.5,5,6,aaScore08,1J99,AND,0.3035714286
CA,1.5,5,6,aaScore05,1J99,AND,0.2117346939
CA,1.5,5,6,SrelScore08,1J99,AND,0.5484693878
CA,1.5,5,6,SrelScore05,1J99,AND,0.7755102041
CA,1.5,5,6,SOScore08,1J99,AND,0.3443877551
CA,1.5,5,6,SOScore05,1J99,AND,0.5382653061
CA,1.5,5,6,RMSD,1E3R,AND,0.3903061224
CA,1.5,5,6,SO,1E3R,AND,0.4451530612
CA,1.5,5,6,Srel,1E3R,AND,0.7028061224
CA,1.5,5,6,Tanimoto,1E3R,AND,0.7028061224
CA,1.5,5,6,GO,1E3R,AND,0.8724489796
CA,1.5,5,6,aaScore08,1E3R,AND,0.5790816327
CA,1.5,5,6,aaScore05,1E3R,AND,0.4744897959
CA,1.5,5,6,SrelScore08,1E3R,AND,0.7678571429
CA,1.5,5,6,SrelScore05,1E3R,AND,0.8826530612
CA,1.5,5,6,SOScore08,1E3R,AND,0.5178571429
CA,1.5,5,6,SOScore05,1E3R,AND,0.7066326531
CA,1.5,5,6,RMSD,1NF5,BGC,0.4104381443
CA,1.5,5,6,SO,1NF5,BGC,0.2409793814
CA,1.5,5,6,Srel,1NF5,BGC,0.4007731959
CA,1.5,5,6,Tanimoto,1NF5,BGC,0.4007731959
CA,1.5,5,6,GO,1NF5,BGC,0.1597938144
CA,1.5,5,6,aaScore08,1NF5,BGC,0.1301546392
CA,1.5,5,6,aaScore05,1NF5,BGC,0.2036082474
CA,1.5,5,6,SrelScore08,1NF5,BGC,0.3666237113
CA,1.5,5,6,SrelScore05,1NF5,BGC,0.2764175258
CA,1.5,5,6,SOScore08,1NF5,BGC,0.1868556701
CA,1.5,5,6,SOScore05,1NF5,BGC,0.1307989691
CA,1.5,5,6,RMSD,1CQ1,BGC,0.1829896907
CA,1.5,5,6,SO,1CQ1,BGC,0.1829896907
CA,1.5,5,6,Srel,1CQ1,BGC,0.1829896907
CA,1.5,5,6,Tanimoto,1CQ1,BGC,0.1829896907
CA,1.5,5,6,GO,1CQ1,BGC,0.3427835052
CA,1.5,5,6,aaScore08,1CQ1,BGC,0.1829896907
CA,1.5,5,6,aaScore05,1CQ1,BGC,0.1829896907
CA,1.5,5,6,SrelScore08,1CQ1,BGC,0.1829896907
CA,1.5,5,6,SrelScore05,1CQ1,BGC,0.1829896907
CA,1.5,5,6,SOScore08,1CQ1,BGC,0.1829896907
CA,1.5,5,6,SOScore05,1CQ1,BGC,0.1829896907
CA,1.5,5,6,RMSD,2GBP,BGC,0.3923969072
CA,1.5,5,6,SO,2GBP,BGC,0.3724226804
CA,1.5,5,6,Srel,2GBP,BGC,0.4162371134
CA,1.5,5,6,Tanimoto,2GBP,BGC,0.4162371134
CA,1.5,5,6,GO,2GBP,BGC,0.1159793814
CA,1.5,5,6,aaScore08,2GBP,BGC,0.1572164948
CA,1.5,5,6,aaScore05,2GBP,BGC,0.2216494845
CA,1.5,5,6,SrelScore08,2GBP,BGC,0.4007731959
CA,1.5,5,6,SrelScore05,2GBP,BGC,0.3131443299
CA,1.5,5,6,SOScore08,2GBP,BGC,0.3041237113
CA,1.5,5,6,SOScore05,2GBP,BGC,0.2345360825
CA,1.5,5,6,RMSD,1HEX,NAD,0.4149159664
