atomtype,cuttoff,clique,distance,metric,code,class,auc
CA,1.5,5,6,RMSD,1DXR,LDA,0.4719135802
CA,1.5,5,6,SO,1DXR,LDA,0.4888888889
CA,1.5,5,6,Srel,1DXR,LDA,0.5111111111
CA,1.5,5,6,Tanimoto,1DXR,LDA,0.5111111111
CA,1.5,5,6,GO,1DXR,LDA,0.5083333333
CA,1.5,5,6,aaScore08,1DXR,LDA,0.5058641975
CA,1.5,5,6,aaScore05,1DXR,LDA,0.5033950617
CA,1.5,5,6,SrelScore08,1DXR,LDA,0.5104938272
CA,1.5,5,6,SrelScore05,1DXR,LDA,0.5080246914
CA,1.5,5,6,SOScore08,1DXR,LDA,0.4919753086
CA,1.5,5,6,SOScore05,1DXR,LDA,0.4919753086
CA,1.5,5,6,RMSD,1THQ,LDA,0.3820987654
CA,1.5,5,6,SO,1THQ,LDA,0.3771604938
CA,1.5,5,6,Srel,1THQ,LDA,0.3913580247
CA,1.5,5,6,Tanimoto,1THQ,LDA,0.3913580247
CA,1.5,5,6,GO,1THQ,LDA,0.4722222222
CA,1.5,5,6,aaScore08,1THQ,LDA,0.3740740741
CA,1.5,5,6,aaScore05,1THQ,LDA,0.3740740741
CA,1.5,5,6,SrelScore08,1THQ,LDA,0.3913580247
CA,1.5,5,6,SrelScore05,1THQ,LDA,0.3901234568
CA,1.5,5,6,SOScore08,1THQ,LDA,0.3740740741
CA,1.5,5,6,SOScore05,1THQ,LDA,0.3740740741
CA,1.5,5,6,RMSD,1KMO,LDA,0.3041666667
CA,1.5,5,6,SO,1KMO,LDA,0.3183641975
CA,1.5,5,6,Srel,1KMO,LDA,0.3581790123
CA,1.5,5,6,Tanimoto,1KMO,LDA,0.3581790123
CA,1.5,5,6,GO,1KMO,LDA,0.3675925926
CA,1.5,5,6,aaScore08,1KMO,LDA,0.2814814815
CA,1.5,5,6,aaScore05,1KMO,LDA,0.287191358
CA,1.5,5,6,SrelScore08,1KMO,LDA,0.3563271605
